"","Odd.radio","2.5%CI","97.5%CI","p.value"
"X95",1.69657289450135,0.812456875095204,3.54278445366028,0.15938783965078
"X105",0.937756270097226,0.473086888332371,1.85882729746854,0.853938958801018
"X106",0.711234317857864,0.341170177964638,1.4827036111907,0.3632736123736
"X140",0.536266115699362,0.250580003137041,1.14766279530296,0.108448512322543
"X174",0.222323514832555,0.070205326498789,0.704045514956103,0.0105679173783124
"X176",0.470666985579222,0.205615253896773,1.07738802017796,0.0744912427908808
"X196",0.902526269252816,0.454672507930509,1.79151730637714,0.769381810415128
"X199",1.12010379294544,0.562880138186486,2.22895146205192,0.746644233794754
"X212",2.5617771707814,1.07669354689814,6.095236933149,0.0334126871587722
"X241",0.634559773846921,0.304818455533025,1.32100304058207,0.224055044521405
"X264",0.637582625216595,0.309382054238271,1.31394694168334,0.22249136159475
"X265",0.969263380491965,0.489442664518352,1.91947202168659,0.928642149537199
"X267",1.87547780610689,0.880847411837177,3.99321943157358,0.102898781548444
"X279",0.574377673918066,0.274569347121056,1.20155332616234,0.140911539714333
"X285",1.09157276063176,0.543598729208416,2.1919313415032,0.805424515875213
"X286",0.899576086644005,0.45324462122709,1.78543130522069,0.762194444911851
"X289",0.538492291618721,0.153906349646405,1.88409346852152,0.332704037844517
"X324",1.00416624196698,0.506810522602623,1.98959926153053,0.99049146550459
"X329",0.867454322477649,0.433856074571426,1.73439314484296,0.687501922599895
"X330",0.954335738686649,0.482048224834513,1.88934769430435,0.89329636908709
"X344",1.15904444092567,0.581115179399652,2.3117345126461,0.675206123784428
"X365",0.606497747432801,0.291674487926016,1.26113024233496,0.180626472912291
"X417",1.00228223190659,0.50595361639949,1.98549756308583,0.994784906994149
"X436",1.38708372778839,0.683906149057668,2.81325335434744,0.364448207572061
"X448",1.17191550163141,0.584786610553395,2.34852494598728,0.6546647380078
"X463",0.939033060162253,0.474061175625692,1.86006180935163,0.856853461947807
"X465",0.774089872513353,0.384146390846311,1.55986140962462,0.473800766879051
"X471",0.885417699873493,0.44620321503505,1.75696740147353,0.727791397594904
"X477",0.962544367716589,0.486149848260409,1.90577383318784,0.912773638239495
"X484",0.854544632559786,0.429330666561557,1.70089533758483,0.654458628145793
"X493",1.53670219549026,0.736674534375698,3.20555893740217,0.252077840290079
"X513",0.987915827581235,0.498669380275002,1.9571638464092,0.972194802164785
"X515",1.18840967617613,0.594577156885119,2.37533100973459,0.625164061865046
"X517",0.701163062755386,0.346413081693621,1.41920056300682,0.323721282679035
"X520",1.1011025958797,0.554238363535172,2.18755504205741,0.783325565010207
"X528",0.731661910616642,0.357187418898319,1.49873462256404,0.393098374685652
"X533",1.7791151353041,0.835681285110976,3.78762899332821,0.135076996468289
"X535",1.39749194010739,0.654448205687118,2.98416850362458,0.387222704014885
"X536",1.13325433261739,0.569088482719009,2.25670598051831,0.721877771253867
"X545",0.955963389842989,0.482620712372151,1.89354907340863,0.89724202526191
"X580",0.522505397072866,0.233874750741825,1.16734230225499,0.113483509698333
"X589",0.627012255690316,0.283639568884859,1.38607025222723,0.248767611704308
"X591",1.58349594865976,0.746223255637452,3.36020004801363,0.231149529971958
"X596",0.88689167568648,0.446737975250683,1.76071184447795,0.731542401973805
"X625",2.32488037122507,0.984424956712442,5.49058483701817,0.054329811198552
"X644",1.49425253688742,0.720829597195493,3.09752908687647,0.280209221375264
"X646",1.10484674804604,0.553388727808994,2.2058388169577,0.777444646504284
"X654",0.825647594494981,0.41380754214366,1.6473695640344,0.586706778369866
"X663",1.16946175588133,0.574600598920767,2.38015902008768,0.665909124264926
"X669",0.9751691535837,0.492484360063823,1.93093416809808,0.942489821786331
"X674",0.967445689145499,0.488481709921621,1.91604136334273,0.924373870881278
"X725",1.4319368123903,0.704215566943588,2.91166956671769,0.321421895673639
"X788",0.885506243353687,0.446188425925137,1.75737706640988,0.72805693264808
"X792",1.40039027436058,0.694467604099334,2.82387962944229,0.346667271105972
"X796",1.01339551125408,0.511450497169138,2.00795671900637,0.969575648687917
"X813",1.10681742734802,0.55768797576955,2.19664914917855,0.771661088879006
"X814",0.548768694695862,0.159832445018398,1.88414236072992,0.340352191059141
"X817",0.903260449818468,0.454978554217044,1.79322614801104,0.77120461129401
"X820",0.973806036733103,0.491863961345864,1.92796844595617,0.939284225333882
"X829",0.768499976290788,0.378756342842248,1.55929326259474,0.465746811208407
"X831",0.869876959427106,0.438162217340697,1.72695384174072,0.690310578327942
"X862",1.16931335997079,0.585395143561811,2.33567659186056,0.65769075031005
"X867",0.719011485888499,0.353376144385964,1.46296665763305,0.362713025798784
"X868",1.39678777455741,0.676422767387894,2.88431463459928,0.366374387040177
"X869",1.21760943973553,0.610203792373091,2.42963542059831,0.576441109050341
"X884",0.925374841240916,0.466963662174092,1.83380135579457,0.824115626158243
"X886",0.793326546040966,0.396996027696281,1.58532318901383,0.512172308415087
"X898",0.898432207598354,0.451899305703425,1.78619533480716,0.760000025939764
"X899",0.648505737083936,0.310539543478685,1.35428707828845,0.24900913854992
"X919",0.962654867071372,0.486114770069293,1.90634897385263,0.913058586265271
"X950",1.57920564509346,0.653019542620109,3.81901353133906,0.310510415597943
"X951",1.27436077270661,0.615436974367363,2.6387679756855,0.513850014835313
"X954",1.0262059030579,0.517638992158122,2.03442663984863,0.940940027491654
"X990",1.60398893768629,0.782080045624881,3.28966392457224,0.197296777738568
"X995",0.513206228330057,0.199688645378369,1.31895647996264,0.166005516329443
"X997",1.28820550314161,0.575927515740998,2.88139283671699,0.537504532365586
"X1015",0.503954022254769,0.229534596954171,1.10645479991614,0.0876587447186562
"X1016",0.676518672912024,0.322400343284314,1.41959375767487,0.301392932546963
"X1029",0.748452014850195,0.367320486657662,1.52504540008245,0.424942162072336
"X1045",0.655559813072584,0.315638015732139,1.36155547524563,0.257479515229685
"X1050",0.965663129811138,0.487353938655985,1.91340462508272,0.920227747521945
"X1051",1.24703760491511,0.616421714658187,2.52279040645856,0.539131276759204
"X1055",0.781304743749729,0.387596057688503,1.57493114415631,0.490178632921631
"X1070",0.533463927814443,0.242495017218177,1.17356540164769,0.118259240651496
"X1072",0.457196080145655,0.207432360638308,1.0076935684352,0.052259175059304
"X1090",2.02092864289422,0.887078422669103,4.60404906184234,0.0939790099827462
"X1103",0.978005875435612,0.493807477503434,1.93698057636222,0.949140413258316
"X1114",0.973144232930438,0.491388789814362,1.92721062774658,0.937758336060528
"X1116",0.766542506139752,0.377573862009409,1.55621845906369,0.461802523119384
"X1128",2.70791047433605,1.16130471146474,6.31425935383502,0.021099322372938
"X1130",1.27115163733393,0.579429176044887,2.78865226657409,0.549466433297727
"X1134",0.798353525685742,0.399486256538049,1.59547003568607,0.523787799058316
"X1154",1.17012387720908,0.561662819015135,2.43774350314956,0.674813625449965
"X1159",1.23867582556207,0.582278893606545,2.63502218211716,0.578366386087954
"X1167",0.971925445144135,0.490769509235236,1.92481206175716,0.934900018887163
"X1186",1.26958562884532,0.629628355799431,2.55999853584107,0.504721431467429
"X1188",0.842540935474608,0.409192379418004,1.7348202548642,0.641958616310312
"X1212",0.770795543523934,0.381379634811403,1.55783297188944,0.468346743481883
"X1213",1.00524876535614,0.507408008327619,1.99154342001946,0.988025701237858
"X1221",1.15437504608682,0.578799343575933,2.30232076421338,0.683582550410732
"X1222",3.10999877490682,1.17074588946322,8.26147882898528,0.0228306745660304
"X1226",0.877095862003707,0.44133737719822,1.74310446132576,0.708223731194718
"X1228",1.24867420846068,0.610186158329666,2.55526490988104,0.543272040193802
"X1237",0.835005558397257,0.417822769056309,1.66873213762161,0.609741072001806
"X1256",0.706757417368503,0.346712063483624,1.44069416560405,0.339500520508643
"X1264",1.08543356624004,0.545669824425332,2.15911889201743,0.815263604903275
"X1268",1.14834681160076,0.574714776525013,2.29453018014795,0.695304263171186
"X1269",1.22675179054978,0.603560754043527,2.49340260368976,0.572243893226765
"X1271",8.58312070751218,1.91756196542803,38.4185556492721,0.00493226188167152
"X1284",0.954266621528318,0.481917827726779,1.88958517940395,0.893162820091267
"X1285",0.71947358335105,0.356859684663274,1.45054837905951,0.35740990620749
"X1292",1.2395722807657,0.612150122567416,2.51006964239147,0.550760749758751
"X1298",1.06413518432649,0.533178692266341,2.12383523000185,0.860053369236177
"X1303",0.854946864782792,0.428692091391842,1.70503295087341,0.656341107962819
"X1320",1.07776535059144,0.537931750655963,2.15934112370027,0.832710704941563
"X1325",0.970372597665543,0.489909053655009,1.92203628668446,0.931269012412613
"X1329",0.608325179012496,0.285094475715785,1.29802418125248,0.198643728817512
"X1332",0.748501743133938,0.371384094939414,1.50855910931226,0.417859412759212
"X1336",0.732517003057319,0.361647620231245,1.48371267983175,0.387384418936885
"X1348",0.613632005478873,0.29475198461267,1.27749517494457,0.191763056581084
"X1349",1.19039442174866,0.591325862269269,2.39637561917606,0.625390187398115
"X1350",0.761268411116208,0.378674750733757,1.53041519837392,0.44391186429006
"X1364",1.76337137119073,0.556957154721495,5.58297629606712,0.334714867142701
"X1380",1.11354323849876,0.555441511320879,2.23241964947408,0.761841787486886
"X1386",0.944391360969449,0.476487731349996,1.87176916422769,0.869790437521889
"X1389",0.561316003534078,0.26657004478646,1.18196197204328,0.128517653702216
"X1410",0.594022869027494,0.25112345371641,1.40513824457885,0.235747422766611
"X1413",0.921641929482956,0.465003282756389,1.82670505280298,0.815154336442797
