"","nobs","NAs","Minimum","Maximum","1. Quartile","3. Quartile","Mean","Median","Sum","SE Mean","LCL Mean","UCL Mean","Variance","Stdev"
"X9303",16,0,0.000332,0.000665,0.000385,0.000575,0.000482,0.000455,0.007709,2.7e-05,0.000424,0.000539,0,0.000108
"X9320",16,0,2.9e-05,0.002935,0.000103,0.00048,0.000474,0.000224,0.007591,0.00019,6.9e-05,0.00088,1e-06,0.000761
"X9328",16,0,0.00021,0.000836,0.000359,0.000564,0.00047,0.000442,0.007518,4.6e-05,0.000372,0.000568,0,0.000184
"X9350",16,0,0.000329,0.000586,0.000366,0.000511,0.000443,0.000439,0.007094,2.2e-05,0.000397,0.00049,0,8.8e-05
"X9351",16,0,0.000309,0.001065,0.000458,0.000698,0.000619,0.00058,0.0099,5.4e-05,0.000503,0.000735,0,0.000218
"X9358",16,0,0.000203,0.000518,0.00026,0.000392,0.000339,0.000342,0.005427,2.2e-05,0.000292,0.000387,0,8.9e-05
"X9359",16,0,0.000227,0.000867,0.000378,0.000764,0.000567,0.000554,0.009071,5.5e-05,0.000449,0.000685,0,0.000222
"X9364",16,0,0.000193,0.003559,0.000228,0.00085,0.000847,0.000307,0.013545,0.000262,0.000289,0.001404,1e-06,0.001046
"X9397",16,0,0.000343,0.000756,0.000438,0.00058,0.000506,0.000495,0.008088,2.9e-05,0.000444,0.000567,0,0.000116
"X9409",16,0,0.000213,0.001283,0.000523,0.000713,0.000634,0.000585,0.010137,6.1e-05,0.000504,0.000763,0,0.000242
"X9432",16,0,2.6e-05,0.003915,0.000182,0.001398,0.000985,0.000874,0.015757,0.000253,0.000445,0.001525,1e-06,0.001013
"X9438",16,0,0.000264,0.00089,0.00047,0.000647,0.00059,0.000599,0.009439,4.2e-05,5e-04,0.000679,0,0.000168
"X9440",16,0,0.00034,0.000631,0.000424,0.000521,0.000477,0.000477,0.007633,2.1e-05,0.000433,0.000521,0,8.3e-05
"X9446",16,0,0.000164,0.001801,0.000231,0.000628,0.000549,0.000305,0.008777,0.000127,0.000277,0.00082,0,0.00051
