"","nobs","NAs","Minimum","Maximum","1. Quartile","3. Quartile","Mean","Median","Sum","SE Mean","LCL Mean","UCL Mean","Variance","Stdev"
"X13191",16,0,8e-06,0.001812,0.00017,0.000851,0.00054,0.000475,0.008638,0.000121,0.000281,0.000799,0,0.000486
"X13193",16,0,1.7e-05,0.002277,4.3e-05,0.000497,0.000415,5.5e-05,0.006639,0.000181,2.8e-05,0.000801,1e-06,0.000725
"X13222",16,0,0.00025,0.000455,0.000355,0.00042,0.000379,0.000386,0.006061,1.5e-05,0.000347,0.000411,0,6e-05
"X13225",16,0,0.000249,0.000523,0.000308,0.000407,0.000359,0.000345,0.005744,1.9e-05,0.000318,4e-04,0,7.6e-05
"X13236",16,0,0.000141,0.000729,0.000176,0.000366,0.00028,0.000224,0.004483,3.8e-05,2e-04,0.00036,0,0.000151
"X13248",16,0,0.00035,0.001355,0.000511,0.000752,0.000696,0.000644,0.011143,7e-05,0.000548,0.000845,0,0.000278
"X13253",16,0,5.1e-05,0.001782,0.000207,0.000657,0.00056,0.000409,0.00896,0.000126,0.000291,0.000829,0,0.000504
"X13254",16,0,0.000155,0.002038,0.00081,0.001367,0.001052,0.001102,0.016825,0.000123,0.00079,0.001313,0,0.000492
"X13255",16,0,0.000164,0.000788,0.000202,0.000478,0.000369,0.000321,0.005902,4.9e-05,0.000265,0.000472,0,0.000194
"X13257",16,0,0.000205,0.002047,0.000253,0.00078,0.000616,0.000434,0.009855,0.000128,0.000342,0.00089,0,0.000514
"X13259",16,0,0.000114,0.000591,0.00026,0.000388,0.000332,0.000293,0.005313,3.2e-05,0.000264,0.000401,0,0.000129
"X13275",16,0,0.000266,0.001463,0.000533,0.000986,0.00079,0.000784,0.012641,8.6e-05,0.000607,0.000973,0,0.000343
"X13285",16,0,0.000552,0.001199,0.000591,0.000857,0.000766,0.000668,0.012261,5.9e-05,0.000641,0.000892,0,0.000236
"X13286",16,0,2e-06,0.000971,0.000341,0.000487,0.000403,0.000417,0.006451,5.4e-05,0.000288,0.000518,0,0.000216
"X13294",16,0,3.2e-05,0.000536,0.000133,0.000227,0.000197,0.000156,0.003157,3.1e-05,0.000131,0.000264,0,0.000125
"X13337",16,0,0.00019,0.000996,0.000239,0.000321,0.000333,0.000269,0.005332,5e-05,0.000226,0.000441,0,0.000201
"X13348",16,0,0.000126,0.000536,0.00019,0.000371,0.000289,0.000306,0.00463,3e-05,0.000225,0.000354,0,0.000122
"X13353",16,0,0.000141,0.000391,2e-04,0.000293,0.000238,0.000215,0.003807,1.7e-05,0.000201,0.000274,0,6.9e-05
"X13360",16,0,3.1e-05,0.000324,5.4e-05,0.000149,0.000117,0.000101,0.001873,2e-05,7.4e-05,0.00016,0,8e-05
"X13361",16,0,0.000323,0.000527,0.000369,0.000404,0.000393,0.000388,0.006293,1.3e-05,0.000366,0.000421,0,5.2e-05
"X13365",16,0,5.6e-05,0.000668,0.00041,0.000562,0.00046,0.000469,0.007353,3.7e-05,0.000381,0.000538,0,0.000147
"X13431",16,0,0.000228,0.000577,0.000315,0.000426,0.000361,0.000345,0.00577,2.3e-05,0.000311,0.00041,0,9.3e-05
"X13441",16,0,3e-05,0.000186,6.4e-05,0.000157,0.000106,0.000115,0.001691,1.3e-05,7.8e-05,0.000134,0,5.3e-05
"X13447",16,0,0.000104,0.000757,0.000154,0.000308,0.000264,0.000215,0.004228,4.2e-05,0.000176,0.000353,0,0.000166
"X13449",16,0,0.000229,0.000494,0.00035,0.000434,0.000383,0.000389,0.006125,1.9e-05,0.000342,0.000423,0,7.6e-05
"X13451",16,0,0.000204,0.000639,0.000267,0.000452,0.00037,0.000341,0.005914,3.2e-05,0.000301,0.000438,0,0.000129
"X13456",16,0,0.000293,0.000593,0.000372,0.000475,0.000428,0.000409,0.00684,2.2e-05,0.00038,0.000475,0,9e-05
"X13487",16,0,1.8e-05,0.000143,0.000109,0.000136,0.000117,0.000127,0.001871,8e-06,1e-04,0.000133,0,3.1e-05
"X13513",16,0,0.000112,0.000568,0.000214,0.000387,0.000296,0.000266,0.004739,3.2e-05,0.000227,0.000365,0,0.00013
"X13520",16,0,0.000147,0.000789,0.000251,0.00045,0.000391,0.000369,0.006264,4.9e-05,0.000287,0.000496,0,0.000197
"X13521",16,0,0.00023,0.000903,0.000349,0.00055,0.000466,0.000419,0.007461,4.3e-05,0.000374,0.000558,0,0.000173
"X13538",16,0,0.000117,0.001383,0.000227,0.00039,0.000378,0.000322,0.006053,7.3e-05,0.000222,0.000534,0,0.000293
"X13545",16,0,0.000291,0.001312,0.000451,0.000771,0.000627,0.000548,0.010032,6.7e-05,0.000484,0.00077,0,0.000268
"X13577",16,0,0.000111,0.00063,0.000225,0.000554,0.000379,0.000381,0.006064,4.5e-05,0.000283,0.000475,0,0.000181
"X13609",16,0,4.5e-05,0.001687,0.000108,0.00073,0.000449,0.00019,0.007183,0.00012,0.000192,0.000706,0,0.000482
"X13622",16,0,0.000196,0.000615,0.000274,0.000464,0.000376,0.000357,0.006024,3.2e-05,0.000308,0.000445,0,0.000128
"X13623",16,0,0.000184,0.000678,0.000309,0.000478,0.000404,0.000374,0.006464,3.7e-05,0.000325,0.000482,0,0.000147
"X13626",16,0,0.000143,0.001701,0.000331,0.000727,0.000618,0.000502,0.009889,1e-04,0.000405,0.000831,0,4e-04
"X13664",16,0,0.000354,0.000551,0.000404,0.000485,0.000452,0.000458,0.007228,1.5e-05,0.00042,0.000484,0,6e-05
"X13674",16,0,0.000159,0.000347,0.000247,0.000311,0.000273,0.000267,0.00436,1.2e-05,0.000246,0.000299,0,5e-05
"X13676",16,0,4.2e-05,0.000911,6.4e-05,0.000155,0.000161,9.3e-05,0.002568,5.2e-05,4.9e-05,0.000272,0,0.000209
"X13681",16,0,0.000206,0.000987,0.000315,0.000486,0.00043,0.000389,0.006884,4.8e-05,0.000327,0.000533,0,0.000194
"X13704",16,0,0.000169,0.000756,0.000274,0.000505,0.000399,0.000347,0.006387,4.4e-05,0.000305,0.000493,0,0.000177
