"","giniImportance"
"X5348",0.220458642331734
"X5351",0
"X5352",0.0361111111111111
"X5361",0.00384
"X5386",0.288305913232647
"X5389",0.00373333333333333
"X5423",0
"X5432",0
"X5449",0
"X5453",0
"X5455",0.00371428571428572
"X5458",0
"X5464",0.0287214137214137
"X5517",0.25548932825141
"X5526",0.0152004357298475
"X5539",0.0204615384615385
"X5544",0
"X5548",0
"X5558",0.007
"X5560",0
"X5576",0
"X5585",0.0159688109161793
"X5586",0.00266666666666667
"X5592",0.0151111111111111
"X5605",0.00378947368421053
"X5606",0.0208850793650794
"X5620",0.00888157894736842
"X5646",0.00733333333333334
"X5648",0.0311826725905673
"X5649",0
"X5659",0.00375
"X5661",0.183495376677431
"X5664",0
"X5675",0.0155844155844156
"X5677",0.0171797235023041
"X5684",0.00369230769230769
"X5685",0
"X5690",0
"X5701",0.45490175731128
"X5702",0
"X5705",0
"X5707",0.00366666666666667
"X5712",0
"X5737",0.203798164664679
"X5742",0
"X5743",0
"X5744",0
"X5745",0
"X5763",0.181050920246054
"X5766",0.293364053029247
"X5768",0.10385431372549
"X5774",0
"X5784",0.0902505098759743
"X5791",0.0246153846153846
"X5793",0.0280350877192982
"X5817",0
"X5822",0
"X5837",0
"X5853",0.638922563515944
"X5868",0
"X5878",0
"X5883",0.0146492753623188
"X5884",0.146010454577172
"X5885",0.00376470588235294
"X5894",0.0272706063294883
"X5918",0.0259094098883573
"X5919",0.0108
"X5925",0
"X5930",0
"X5933",0.0197988721804511
"X5938",0.0291799373040752
"X5948",0
"X5962",0
"X5971",0
"X5981",0.0766857142857143
"X5984",0
"X5986",0
"X5987",0
"X5999",0
"X6008",0.0196147152194211
"X6019",0
"X6029",0
"X6032",0
"X6033",0
"X6044",0
"X6049",0
"X6055",0.0298233766233766
"X6073",0
"X6080",0
"X6085",0
"X6086",0
"X6100",0.00738461538461539
"X6101",0
"X6109",0
"X6124",0.0640892832657539
"X6140",0
"X6147",0.00266666666666667
"X6164",0
"X6178",0.0190949197860963
"X6186",0
"X6206",0.00378947368421053
"X6220",0
"X6229",0
"X6242",0.00711111111111111
"X6245",0
"X6259",0
"X6280",0
"X6298",0.0214074960127592
"X6304",0
"X6305",0
"X6313",0.0169195177582274
"X6316",0
"X6322",0.00933333333333333
"X6337",0
"X6340",0
"X6343",0.0933291226167886
"X6374",0.00952380952380952
"X6378",0.00704761904761905
"X6387",0
"X6403",0
"X6415",0.00975238095238095
"X6432",0.291625031195077
"X6438",0
"X6441",0.314876284294374
"X6444",0
"X6450",0
"X6456",0
"X6469",0
"X6475",0
"X6488",0
"X6489",0
"X6494",0
"X6516",0.00377777777777778
"X6522",0.392381805812768
"X6530",0.00711111111111111
"X6531",0.0786581052839673
"X6539",0
"X6565",0.0497695932637005
"X6581",0
"X6583",0
"X6592",0
"X6594",0.0693367286308463
"X6600",0
"X6601",0
"X6607",0
"X6614",0
"X6623",0.00369230769230769
"X6624",0.00266666666666667
"X6643",0.0084
"X6648",0
"X6651",0.00266666666666667
"X6658",0
"X6668",0.00996720142602496
"X6679",0
"X6680",0.0345547511312217
"X6698",0.204167339657838
"X6712",0.00419047619047619
"X6716",0.0174545454545455
"X6726",0
"X6732",0.01024
"X6758",0
"X6767",0.0142060606060606
"X6794",0.00702051282051282
"X6809",0
"X6818",0.165924576925776
"X6834",0
"X6838",0.0768726890756303
"X6851",0.0516811186488564
"X6858",0
"X6863",0.0118313725490196
"X6868",0.513359852122135
"X6877",0.00381818181818182
"X6878",0
"X6890",0
"X6909",0
"X6911",0
"X6931",0.00571428571428572
"X6949",0
"X6955",0
"X6986",0
"X6995",0
"X7001",0.00384615384615385
"X7009",0.0177413793103448
"X7017",0
"X7020",0
"X7021",0
"X7056",0
"X7062",0
"X7063",0.0144778280542986
"X7064",0.508266107312623
"X7069",0.002
"X7081",0.0068
"X7091",0
"X7097",0
"X7112",0
"X7114",0.00378947368421053
"X7162",0.0195691821691822
"X7170",0.11928006040962
"X7171",0
"X7189",0
"X7190",0
"X7204",0.00705882352941176
"X7220",0
"X7247",0.0470857142857143
"X7251",0.0038
"X7315",0
"X7319",0
"X7326",0
"X7328",0
"X7342",0.0125185185185185
"X7352",0.003
"X7365",0
"X7373",0.003
"X7380",0.00693333333333333
"X7408",0
"X7409",0.127066009830584
"X7410",0
"X7413",0
"X7429",0
"X7458",0
"X7468",0.00380952380952381
"X7470",0
"X7475",0.017531746031746
"X7485",0.167934818296491
"X7499",0.00371428571428572
"X7500",0.0913789688933538
"X7503",0.00376470588235294
"X7505",0
"X7510",0
"X7518",0
"X7522",0.00377777777777778
"X7524",0
"X7541",0.00975
"X7551",0.01975
"X7571",0.00730434782608695
"X7576",0
"X7582",0.0372680272108844
"X7590",0
"X7591",0.00952380952380952
"X7592",0.0038
"X7595",0
"X7604",0
"X7608",0
"X7625",0
"X7626",0
"X7635",0.00378947368421053
"X7649",0
"X7653",0.00754248366013072
"X7654",0.00266666666666667
"X7663",0
"X7695",0
"X7718",0
"X7726",0.00369230769230769
"X7731",0
"X7733",0
"X7781",0.00378947368421053
"X7787",0
"X7814",0.00384615384615385
"X7824",0.0162810068649886
"X7834",0.00943589743589744
"X7836",0
"X7838",0
"X7843",0.0187777777777778
"X7846",0
"X7859",0
"X7870",0
"X7893",0
"X7895",0
"X7901",0
"X7935",0.0041025641025641
"X7945",0.0038
"X7950",0.00380952380952381
"X7959",0
"X7972",0.366145470847997
"X7980",0.239351903586884
"X7982",0.0133333333333333
"X8003",0
"X8027",0
"X8030",0
"X8034",0.153768271924154
"X8035",0
"X8036",0
"X8045",0.0127368421052632
"X8053",0.00333333333333333
"X8062",0
"X8071",0
"X8081",0
"X8089",0.00342857142857143
"X8094",0.00376470588235294
"X8138",0
"X8141",0
"X8156",0.150644574777206
"X8166",0
"X8191",0
"X8208",0.00682608695652174
"X8228",0.01
"X8252",0
"X8259",0
"X8280",0.111209762070836
"X8282",0.124258975901028
"X8283",0.194407483188419
"X8305",0.0202344086021505
"X8308",0
"X8309",0
"X8316",0
"X8334",0
"X8335",0.00381818181818182
"X8342",0
"X8347",0
"X8354",0.111562281280023
"X8359",0.0464849909138582
"X8361",0.00469333333333333
"X8368",0.00266666666666667
"X8381",0
"X8394",0
"X8395",0
"X8431",0
"X8432",0
"X8435",0.122729952995035
"X8436",0.0036600790513834
"X8439",0.00735897435897436
"X8440",0
"X8452",0
"X8465",0.5194113930814
"X8484",0
"X8485",0
"X8503",0
"X8507",0.0212377465402637
"X8537",0
"X8551",0
"X8586",0
"X8607",0.0182188905547226
"X8631",0
"X8648",0
"X8662",0
"X8692",0.0388846153846154
"X8700",0
"X8702",0
"X8704",0.186226647660081
"X8712",0
"X8721",0
"X8754",0.00685714285714286
"X8757",0.0032
"X8770",0
"X8782",0.00383333333333334
"X8796",0
"X8797",0.0110769230769231
"X8800",0
"X8812",0.233221389659245
"X8824",0.00552
"X8827",0
"X8828",0.00666666666666667
"X8834",0.0375340310122094
"X8845",0.0108809523809524
"X8850",0.00378947368421053
"X8866",0
"X8879",0
"X8883",0
"X8893",0
"X8896",0.007
"X8902",0
"X8918",0
"X8920",0.0140024242424242
"X8938",0
"X8942",0
"X8943",0.00369230769230769
"X8945",0
"X8963",0
"X8976",0
"X8978",0
"X8980",0.003
"X8984",0.0492185194320643
"X8991",0
"X8998",0
"X9037",0.0232350427350427
"X9038",0
"X9039",0
"X9049",0.0807416914240444
"X9061",0
"X9066",0
"X9067",0
"X9068",0
"X9070",0
"X9071",0.00460606060606061
"X9075",0
"X9113",0
"X9114",0.00457142857142857
"X9119",0
"X9125",0.00373333333333333
"X9133",0.01015
"X9146",0.00369230769230769
"X9147",0
"X9174",0
"X9179",0
"X9185",0.00377777777777778
"X9229",0
"X9231",0
"X9235",0
"X9247",0
"X9254",0
"X9279",0
"X9280",0
"X9282",0.0133928571428571
"X9286",0
"X9296",0.0602502129887437
"X9303",0.0171175950486295
"X9320",0.00622222222222222
"X9328",0.00378947368421053
"X9350",0.00377777777777778
"X9351",0.0178661654135338
"X9358",0
"X9359",0
"X9364",0.0178277056277056
"X9397",0
"X9409",0.01375
"X9432",0.0695370409982175
"X9438",0.00812698412698412
"X9440",0
"X9446",0
"X9449",0.00373333333333333
"X9450",0
"X9458",0
"X9481",0
"X9514",0.0303643724696356
"X9527",0
"X9528",0
"X9540",0.0138357487922705
"X9547",0
"X9561",0
"X9565",0
"X9573",0
"X9591",0.0048
"X9594",0
"X9596",0.0147368421052632
"X9602",0.14581254793086
"X9620",0
"X9622",0.0187277183600713
"X9624",0.00375
"X9639",0
"X9659",0
"X9666",0
"X9688",0
"X9696",0.17042918515592
"X9698",0.00375
"X9699",0
"X9707",0
"X9716",0
"X9720",0.00381818181818182
"X9722",0.0347535184114131
"X9733",0.0986334967320261
"X9741",0.0316078852593669
"X9780",0
"X9781",0.002
"X9791",0.00373333333333333
"X9800",0
"X9809",0.150394949291425
"X9810",0.0766994670688788
"X9828",0
"X9892",0.00355555555555556
"X9901",0
"X9906",0.0309866712866713
"X9907",0.00675
"X9914",0
"X9929",0.0415431588019823
"X9935",0
"X9937",0.004
"X9969",0
"X9979",0.0130202429149798
"X9982",0.00342857142857143
"X9988",0
"X9992",0
"X9994",0.0038
"X10001",0.0166190476190476
"X10017",0.0215785440613027
"X10043",0
"X10078",0.00363636363636364
"X10081",0
"X10088",0
"X10118",0.0233764172335601
"X10126",0
"X10127",0.00751048951048951
"X10150",0.0667557189542484
"X10162",0.0796212156178949
"X10186",0
"X10196",0.0130909090909091
"X10197",0
"X10218",0.00685714285714286
"X10219",0
"X10244",0.0182322322322322
"X10247",0
"X10248",0.00369230769230769
"X10250",0
"X10277",0
"X10291",0
"X10292",0.0115809523809524
"X10294",0.00410526315789474
"X10305",0.0145287694761379
"X10307",0.0066
"X10342",0.224804637343684
"X10346",0
"X10351",0.1151325289702
"X10353",0
"X10358",0.00266666666666667
"X10362",0.00369230769230769
"X10365",0
"X10376",0.00384
"X10403",0
"X10427",0
"X10440",0.0038
"X10455",0
"X10461",0
"X10466",0.0151855500821018
"X10484",0
"X10487",0.0279084992777967
"X10525",0.0038
"X10532",0.0227376788553259
"X10537",0
"X10577",0.0151298245614035
"X10588",0.00382608695652174
"X10629",0.100987019969278
"X10633",0.003
"X10661",0.211844106066543
"X10700",0.301968555826461
"X10727",0.00369230769230769
"X10731",0.00384615384615385
"X10733",0.00375
"X10760",0.00693333333333333
"X10793",0
"X10819",0
"X10826",0.0096
"X10855",0.0266666666666667
"X10877",0
"X10890",0
"X10903",0
"X10919",0.0219625668449198
"X10920",0
"X10953",0
"X10959",0
"X10965",0
"X10995",0.002
"X10996",0
"X10997",0
"X11004",0
"X11007",0
"X11021",0.00975
"X11052",0
"X11083",0
"X11096",0
"X11145",0.0435600621600622
"X11148",0
"X11161",0.0346522366522366
"X11166",0
"X11168",0.0035
"X11172",0
"X11179",0
"X11212",0
"X11233",0
"X11242",0
"X11243",0
"X11245",0
"X11261",0.0072
"X11301",0.00366666666666667
"X11303",0.164720291146762
"X11307",0
"X11342",0
"X11343",0.00380952380952381
"X11346",0.0182150537634409
"X11348",0.00710526315789474
"X11351",0.00373333333333333
"X11358",0.00377777777777778
"X11364",0.00705882352941176
"X11381",0.0123676470588235
"X11384",0.01635670995671
"X11409",0
"X11419",0
"X11434",0.00371428571428572
"X11440",0.0136473145780051
"X11451",0.0175686274509804
"X11455",0.150897702536094
"X11460",0
"X11476",0.197562327648556
"X11518",0
"X11519",0
"X11520",0
"X11541",0.201328018317985
"X11548",0.140562693558081
"X11605",0
"X11613",0
"X11707",0.0201023939940349
"X11710",0
"X11712",0
"X11743",0.0139930735930736
"X11744",0
"X11759",0.0109978947368421
"X11778",0
"X11782",0.00342857142857143
"X11803",0.00741666666666667
"X11843",0.0213022113022113
"X11847",0
"X11868",0
"X11887",0.00383333333333334
"X11895",0
"X11912",0.0135384615384615
"X11919",0.0036
"X11921",0.0199629186602871
"X11974",0
"X11982",0
"X12007",0.0236876048817696
"X12017",0
"X12027",0.00942857142857143
"X12046",0.01344
"X12047",0
"X12052",0
"X12081",0.0158333333333333
"X12092",0.0153650793650794
"X12093",0
"X12094",0.263642299274989
"X12098",0
"X12099",0.221222473604827
"X12104",0.00533333333333333
"X12106",0
"X12117",0
"X12180",0.0398612440191388
"X12238",0.0048
"X12244",0
"X12247",0.0626627450980392
"X12298",0
"X12355",0
"X12410",0.00333333333333333
"X12420",0
"X12447",0
"X12469",0
"X12474",0
"X12475",0.00376470588235294
"X12508",0
"X12513",0.00711111111111111
"X12523",0
"X12534",0
"X12536",0
"X12558",0.00266666666666667
"X12590",0.298488508883662
"X12595",0
"X12600",0
"X12606",0
"X12611",0
"X12622",0
"X12650",0.00321904761904762
"X12676",0.0517430257332135
"X12689",0
"X12700",0
"X12704",0
"X12705",0
"X12707",0.0186984126984127
"X12733",0.0109760765550239
"X12768",0.0235729252826027
"X12772",0
"X12780",0
"X12801",0.00705882352941176
"X12812",0.00706493506493507
"X12856",0
"X12918",0
"X12937",0.00375
"X12943",0.00943157894736842
"X12946",0
"X12997",0
"X13003",0
"X13025",0.071072385620915
"X13038",0.426047061582367
"X13067",0
"X13119",0.00917460317460317
"X13133",0
"X13137",0
"X13138",0.0032
"X13185",0.0654346096614383
"X13188",0.0237229562594268
"X13197",0.0198163129973475
"X13213",0
"X13229",0.0213848484848485
"X13266",0.139460351837312
"X13276",0.00375
"X13321",0
"X13327",0.0118974358974359
"X13386",0.00566666666666667
"X13397",0
"X13413",0
"X13419",0
"X13446",0.0233336032388664
"X13467",0.00466666666666667
"X13501",0
"X13551",0
"X13556",0
"X13576",0.00366666666666667
"X13616",0.0101052631578947
"X13669",0
"X13726",0.0233333333333333
"X13765",0
"X13786",0.00371428571428572
"X13804",0
"X13854",0
"X13883",0.0139377777777778
"X13892",0
"X13901",0.00738095238095238
"X13968",0.0283347462481384
"X13987",0.003
"X14025",0.139983168663346
"X14102",0.00433333333333333
"X14107",0
"X14126",0
"X14148",0
"X14162",0
"X14163",0
"X14209",0.00371428571428572
"X14240",0
"X14265",0
"X14267",0
"X14348",0.012765664160401
"X14397",0
"X14485",0.00727272727272727
"X14574",0
"X14757",0
"X14776",0.0561606050719923
"X14820",0
"X14870",0
"X14886",0
"X14887",0
"X14888",0.00685714285714286
"X14914",0
"X14941",0.00942857142857143
"X14942",0
"X14955",0.0164285714285714
"X14969",0
"X15143",0
"X15159",0.0352136752136752
"X15160",0.0032
"X15164",0
"X15324",0.00745185185185186
"X15351",0
"X15369",0
"X15373",0.00366666666666667
"X15408",0
"X15469",0
"X15515",0.00925287356321839
"X15530",0
"X15574",0
"X15630",0
"X15757",0
"X15924",0
"X15950",0
"X15972",0
"X16059",0
"X16074",0.0205905555555556
"X16191",0.0102
"X16234",0
"X16247",0.00266666666666667
"X16248",0.0126903119868637
"X16323",0.0616621848739496
"X16333",0
"X16342",0
"X16351",0
"X16363",0.0582172100469987
"X16367",0
"X16404",0
"X16426",0
"X16520",0.0175005347593583
"X16567",0.0168928571428571
"X16581",0.002
"X16626",0.0183643724696356
"X16717",0.25178944617256
"X16718",0.360858304089423
"X16760",0.00813333333333333
"X16783",0.161621264477958
"X16863",0
