"","p-value"
"X2927",0.865587599269146
"X2928",0.902455355684098
"X2937",0.90853318173383
"X2941",0.892363391732527
"X2945",0.758276704256069
"X2948",0.877112561713622
"X2971",0.00506070237618221
"X2977",0.907693714968079
"X3009",0.926768970161912
"X3014",0.813717607033842
"X3015",0.924030563439261
"X3017",0.938615510177436
"X3037",0.869303556965846
"X3044",0.921778759752692
"X3050",0.883568940509891
"X3052",0.849594330256706
"X3055",0.799397252146036
"X3067",0.89715758580603
"X3074",4.09911326891206e-21
"X3089",0.8898157146998
"X3094",0.899722156833285
"X3096",5.6457679230648e-49
"X3097",0.660908796069005
"X3101",0.93839929507531
"X3106",0.74145611165034
"X3116",0.899775632084613
"X3129",0.884560437592694
"X3130",4.10498957954352e-90
"X3132",0.67367433550542
"X3136",0.314152695948015
"X3170",1.55167889634393e-64
"X3178",0.744606239583989
"X3184",0.834417183086575
"X3185",0.763212367809029
"X3198",0.825342166256169
"X3222",0.897615191891047
"X3227",0.744078127683977
"X3232",0.900872035205881
"X3243",0.833981485401916
"X3248",0.850200102848277
"X3257",0.000300434384464138
"X3259",0.897192825379225
"X3266",0.819440666554757
"X3269",0.252600391347395
"X3280",0.819841097476272
"X3294",0.661497451020213
"X3309",0.931372424425036
"X3313",0.548948789896302
"X3349",0.840856435712301
"X3356",0.867363576786243
"X3364",0.41168896682512
"X3391",0.0727542008948351
"X3398",0.785322164090537
"X3427",0.928839236652748
"X3430",0.887040385516164
"X3439",0.769136867873441
"X3442",0.676301614501662
"X3448",0.736935141883543
"X3472",0
"X3483",0.909396106197973
"X3487",0.370977891685767
"X3494",0.530205819372389
"X3495",0.361899701533333
"X3508",0.92965324981257
"X3529",0.909110107968812
"X3533",0.00554963505868762
"X3537",0.946927824793102
"X3544",0.593563508865653
"X3547",0.841217501763634
"X3552",0.821398206746807
"X3561",0.860481619300562
"X3580",0.932935029172359
"X3590",0.943739927558733
"X3594",0.891224749506876
"X3614",0.827122378283146
"X3615",0.82286082671066
"X3620",5.53787509791756e-06
"X3621",0.460898012520903
"X3680",7.89444726999043e-05
"X3682",0.849750385854603
"X3690",0.810858678482884
"X3697",0.801932250189094
"X3698",0.758229398453474
"X3701",9.55936256987785e-70
"X3725",0.877162654381228
"X3732",0.901228964816287
"X3733",0.7361905993168
"X3749",0.860985589285039
"X3752",0.903707378276119
"X3753",0.816615806267356
"X3757",0.86158379483419
"X3760",1.7451283774828e-75
"X3778",0.844232069222407
"X3780",2.33552208110511e-258
"X3784",0.846726981682091
"X3788",6.00334595780916e-17
"X3791",4.72189871949639e-38
"X3797",0.851138601712576
"X3821",0.0172705894493994
"X3838",0.839674807231769
"X3840",1.94602352496947e-05
"X3854",0.744300020902502
"X3865",0.811765438470396
"X3874",0.946043271333117
"X3880",0.000600998740388941
"X3881",1.46136412288795e-22
"X3888",0.766066216414948
"X3892",0.892794032303616
"X3894",0.0379270644776993
"X3920",0.769397661578521
"X3928",0.890155801140999
"X3947",0.87704166643552
"X3962",0.839362080611385
"X3971",0.709640420529333
"X3982",0.808863247867389
"X3983",0.382849735426202
"X3985",3.44389741520708e-18
"X3987",0.821130920868691
"X3988",0.862319769591513
"X3995",0.378719770076445
"X4004",0.858746808016007
"X4036",0.909850336025258
"X4059",0.893127862672742
"X4062",0.160310084431277
"X4063",0.742394616212182
"X4064",0.832836362143979
"X4072",0.837215876766028
"X4074",0.960453534253214
"X4075",0.857147210495006
"X4080",0.936775991578429
"X4084",0.889197239982876
"X4107",0.704513210953551
"X4109",0.781084293770406
"X4110",0.869561336721405
"X4119",0.0840318185476688
"X4120",0.484926681808483
"X4142",0.949526242964037
"X4158",0.862782405726928
"X4163",0.726099908932275
"X4168",0.00814878557056738
"X4169",0.741423424884192
"X4174",0.881709102199427
"X4184",5.00447421904313e-29
"X4192",0.928575447609313
"X4197",0.893618246056276
"X4203",0.892138268860372
"X4208",0.920984337854195
"X4221",0.823273842442669
"X4233",0.908474353463532
"X4238",0.0702516055816491
"X4243",0.901667096941017
"X4246",0.872554183623862
"X4249",0.771490817042914
"X4255",0.818506022839626
"X4262",0.846426992781753
"X4271",1.18994821566586e-06
"X4284",7.81670875122354e-05
"X4298",0.885290459527245
"X4304",0.786962143874683
"X4317",0.786725686968053
"X4318",0.894639720997274
"X4322",0.952515783735874
"X4323",0.636694548187515
"X4326",0.747348056058778
"X4331",0.903778051825324
"X4344",0.918736553819159
"X4354",0.877974041437978
"X4357",0.887247899423977
"X4375",0.86609061181129
"X4377",0.737484240483638
"X4397",0.719741868189065
"X4399",0.9568189181419
"X4415",0.798716938369388
"X4418",0.935458782243685
"X4419",0.0153601781202825
"X4420",0.0966694439936974
"X4421",0.0181592934956946
"X4424",6.41347151948103e-08
"X4458",0.951185754018964
"X4460",0.956852097262082
"X4474",0.00344157919859778
"X4475",1.00032934029223e-53
"X4476",0.912430895204235
"X4499",0.712586963176691
"X4503",0.802110099607759
"X4512",0.804867220611366
"X4516",0.384748505035634
"X4517",1.20166206276576e-05
"X4547",0.81978005029443
"X4574",0.926602034218995
"X4585",0.876150677250526
"X4588",0.707898710247071
"X4596",0.864177002613159
"X4600",0.829593580197865
"X4606",0.835966440091518
"X4607",0.860708086653254
"X4612",5.59634244479365e-12
"X4616",0.86321430547394
"X4618",0.783086093640928
"X4619",0.888121145796992
"X4623",0.883794030421914
"X4626",0.82485250850908
"X4632",0.391490809817831
"X4634",0.774858869388073
"X4648",0.886711272368455
"X4654",0.911190563897101
"X4690",4.69032233844156e-12
"X4705",0.859553688402765
"X4712",0.267381293465301
"X4713",0.900785447519497
"X4724",7.25839880494088e-05
"X4725",0.658353421848257
"X4727",0.78789078675275
"X4766",0.839096004222733
"X4782",0.642084262030158
"X4792",0.954992560794648
"X4802",0.791390972028365
"X4814",0.834855220961723
"X4826",0.862165070137229
"X4828",0.956500044279649
"X4831",0.950457240656498
"X4840",0.584662845739122
"X4856",0.961040819047268
"X4858",0.236065839393557
"X4860",0.791533448501568
"X4865",0.890128089856518
"X4871",0.852001341100107
"X4874",0.86712353853848
"X4881",0.690573499164894
"X4884",0.800561173712728
"X4909",0.801784324959241
"X4912",0.0041841625473016
"X4916",0.787728335952627
"X4921",0.808563265602427
"X4927",0.955084505629357
"X4938",0.80042757774197
"X4944",0.00011295502202494
"X4950",0.711835295097145
"X4956",0.90697680729388
"X4969",0.874832604023562
"X4986",0.757141144270456
"X5008",0.821969108793404
"X5017",0.701244820505035
"X5031",0.853162301979349
"X5032",1.28615070123229e-47
"X5048",0.722421283180639
"X5057",0.841732102726156
"X5059",0.696985112645472
"X5083",0.923804276472855
"X5094",0.937540901544
"X5095",0.758361569262434
"X5097",0.410096161468658
"X5098",0.846133751189611
"X5100",0.809254176941124
"X5104",1.42577041167672e-10
"X5124",6.6087369370046e-06
"X5133",0.611322216365909
"X5141",4.65167374928463e-87
"X5143",0.929759968504498
"X5152",0.884714190119325
"X5197",5.21235550265706e-22
"X5213",0.00627587954271865
"X5219",0.653941445152473
"X5221",0.767331837551986
"X5245",0.871708963781212
"X5249",0.697313385182907
"X5253",0.818139717179167
"X5255",0.581381203896873
"X5260",5.29984098325615e-68
"X5273",0.809604422428921
"X5299",3.93916127597929e-08
"X5301",8.58630278944995e-62
"X5304",0.9189852333262
"X5308",0.877029007702114
"X5312",0.873360983498204
"X5320",0.00847851321760913
"X5359",0.915584594411816
"X5369",0.812245009966649
"X5370",0.894613310833569
"X5371",0.389762300260606
"X5372",0.460324730235343
"X5374",2.5939044711783e-111
"X5378",0.819750119652725
"X5384",0.820303270208933
"X5395",0.854169597904246
"X5412",0.917015641054814
"X5421",0.902724358897876
"X5427",0.396566357355623
"X5432",0.852207622631544
"X5441",0.933787217417444
"X5451",0.508758997633227
"X5466",0.653611192371947
"X5473",0.92586138468677
"X5475",0.67761198520624
"X5480",0.69155863079891
"X5481",0.904562806453016
"X5482",0.772789760018471
"X5492",0.940055593478078
"X5493",0.805755420744858
"X5496",0.919991919822529
"X5498",0.961508622542462
"X5509",0.84458938257218
"X5518",0.959657717975634
"X5529",3.28623629884125e-93
"X5576",0.192364340740533
"X5578",0.481826981568142
"X5581",0.893570099917549
"X5583",0.715737981133274
"X5585",0.945257028737975
"X5593",0.963365214865299
"X5597",0.8257025978771
"X5600",0.887352949034326
"X5603",1.84156721019237e-44
"X5636",0.215346915318402
"X5641",0.905285647381673
"X5668",0.650905991240872
"X5687",0.889218723839603
"X5693",0.856117211192594
"X5694",0.0543763944791073
"X5695",0.000174318328319083
"X5714",0.901997317677383
"X5716",0.722140117584753
"X5717",0.339878243796121
"X5722",0.874985969637991
"X5723",0.848687136519292
"X5726",0.271051955090024
"X5727",0.823293879376976
"X5730",0.512608217396442
"X5732",0.855766014527044
"X5741",0.819610401164049
"X5770",0.770078568900497
"X5772",4.39094572089986e-12
"X5783",0.876884659952797
"X5792",0.886011010128968
"X5797",0.912031192254855
"X5800",0.82956717048962
"X5805",0.496603335968991
"X5814",0.847410928154415
"X5835",0.805388581680562
"X5852",0.253325746712966
"X5859",0.823733680144305
"X5862",0.927538238565697
"X5867",0.702359354819817
"X5869",0.878259538062073
"X5882",0.767286543565077
"X5883",0.908475013577532
"X5885",0.86940213532814
"X5895",0.000307530223624833
"X5912",0.883050486577044
"X5919",7.5195371264405e-21
"X5931",0.000167970616841193
"X5932",0.866361329331049
"X5970",0.91664092138533
"X5971",0.971295045159053
"X5972",0.913341033870518
"X5973",0.88890388628824
"X6003",0.826322112603272
"X6014",0.368542349877546
"X6019",0.784166324701778
"X6029",3.04415224960675e-91
"X6030",0.806514722209241
"X6052",7.07828971022513e-228
"X6065",0.702102612359063
"X6066",0.907569505952276
"X6067",0.834825052262558
"X6083",1.42888866058016e-10
"X6110",0.915696239926927
"X6111",0.803167112373763
"X6119",7.06881739154903e-13
"X6136",0.877508270425805
"X6139",0.739688190841855
"X6140",0.888925804345567
"X6143",0.898773196875349
"X6144",0.835048065686574
"X6171",0.8999550385814
"X6190",0.796250999569911
"X6195",0.84279490668316
"X6197",0.887206554065789
"X6200",0.968034021367817
"X6201",0.962957996538413
"X6217",0.136148121545017
"X6224",0.714213056901796
"X6239",0.857480564642358
"X6242",0.899274356314424
"X6249",0.835586560584976
"X6250",5.6438664249605e-05
"X6259",0.851742959669908
"X6260",0.929136961694736
"X6265",0.88532665492662
"X6266",0.839673438673537
"X6273",0.845904785635613
"X6283",0.715868941258809
"X6286",0.906704763894514
"X6288",0.835390840262697
"X6296",0.770907895952578
"X6305",0.793792581801103
"X6325",0.763414169858267
"X6328",0.886650640557975
"X6336",0.807038675545832
"X6349",0.74725565484133
"X6351",1.52196566605106e-94
"X6365",0.957416672363305
"X6373",0.907050882095867
"X6382",0.586637101206942
"X6389",0.867973941713788
"X6390",0.609154506868752
"X6394",0.673266220877389
"X6395",0.94278274141012
"X6403",0.863167322334301
"X6404",0.952930324848677
"X6439",0.106033931217648
"X6441",4.8905129854722e-10
"X6451",0.907596066271679
"X6452",0.923144345064988
"X6476",0.78380511103445
"X6486",0.832886202148153
"X6492",0.780559173698398
"X6493",0.923626048573622
"X6495",0.833946311176242
"X6508",0.00659915420478823
"X6509",0.892445172427619
"X6510",0.926742139952224
"X6512",0.671036352761182
"X6514",0.574744969001037
"X6523",0.904044635107116
"X6524",0.87657851838764
"X6533",0.908000327691636
"X6564",0.892654962111548
"X6579",0.874815607748512
"X6580",0.634771600135341
"X6583",0.857488755363116
"X6611",0.6548127125379
"X6614",0.788832561627
"X6626",0.0513615507743606
"X6658",0.665955297114254
"X6660",0.490108508150546
"X6664",0.967889048465688
"X6680",0.900566494842573
"X6707",0.749202258260821
"X6713",0.759915516684792
"X6716",0.786710811683458
"X6720",0.721527075115177
"X6725",0.726890309245749
"X6755",0.938836384415843
"X6757",0.914291816575692
"X6777",0.826647268866176
"X6778",0.754042273918388
"X6805",0.886896539961142
"X6806",0.950852578836383
"X6809",0.225084742907785
"X6812",0.137202755092474
"X6815",0.828896785242778
"X6823",0.852968314406142
"X6824",0.908425199810154
"X6830",0.916302777571923
"X6878",0.779403340443277
"X6880",0.181573347681283
"X6888",0.768400659789006
"X6903",0.709224341110225
"X6907",0.90270840638404
"X6914",0.880344559816063
"X6915",0.891585548739017
"X6916",0.217344390379266
"X6917",0.866142861713944
"X6932",0.872445260112195
"X6945",0.872421081411111
"X6953",0.835428486431446
"X6954",0.724200220779477
"X6980",0.218604570148251
"X6985",0.920649767508443
"X6988",0.59651081876589
"X6989",0.840035482576165
"X7048",0.816770973660375
"X7058",0.0012756633307014
"X7067",0.856657709058946
"X7070",0.85352482125281
"X7078",0.851380214133988
"X7097",0.720656013020897
"X7101",0.616424513709947
"X7103",1.15964364004791e-16
"X7107",0.964459257741038
"X7114",0.899718509634172
"X7126",0.236844182835664
"X7129",0.793522652743674
"X7159",0.902480215939807
"X7162",0.754065781308179
"X7169",4.01861586832001e-26
"X7188",1.32758465168117e-28
"X7190",0.868785233567047
"X7191",0.838539039007858
"X7192",0.883578100759055
"X7206",0.76737210795513
"X7222",0.643954293141458
"X7282",0.920407829970982
"X7285",0.902944234914628
"X7290",0.805646815547997
"X7293",0.818343122159883
"X7298",0.890279978468316
"X7303",1.03163649223894e-15
"X7308",0.777518048820519
"X7313",0.876372079278677
"X7317",0.859243944639804
"X7334",0.807529548736696
"X7353",0.626527224944374
"X7374",0.796695008116887
"X7383",0.0789994812385589
"X7384",0.715394015119701
"X7385",0.871266858110416
"X7391",0.707094140061073
"X7395",0.913807797805244
"X7403",0.921134928879413
"X7407",1.76333767393999e-53
"X7423",2.75468678451774e-16
"X7442",0.894356877880957
"X7443",0.922394108582794
"X7452",0.880961504180564
"X7473",4.75910488545799e-65
"X7482",0.953124492920408
"X7490",0.874529070329869
"X7505",0.924124895201866
"X7543",0.753727882035686
"X7566",0.888545183816279
"X7573",0.911512663492972
"X7588",0.633685705351213
"X7600",0.736732624761239
"X7603",0.349318198522748
"X7604",0.877520981288469
"X7627",0.501070753807012
"X7631",0.93780785863918
"X7677",0.827233673410526
"X7696",0.732535152274208
"X7712",0.80994330709806
"X7725",0.884165323772544
"X7730",0.932731796814683
"X7738",0.813929810570543
"X7759",0.943869553731363
"X7771",7.18675543199673e-07
"X7775",0.00016002956098243
"X7795",0.802378832955872
"X7802",0.891273173242661
"X7807",0.823604454896074
"X7818",0.800492569952339
"X7829",0.914352890709367
"X7830",0.881521256057994
"X7831",0.867703485750731
"X7835",0.156635095303435
"X7836",9.22350147537888e-17
"X7843",0.433277337096812
"X7878",0.896872892070374
"X7881",0.704184605487406
"X7882",0.858258422248671
"X7883",0.499203943448937
"X7897",0.774818834106207
"X7906",0.650747560366786
"X7912",0.724419822280693
"X7914",0.88781246862567
"X7917",0.000755835944314913
"X7921",6.57248414218939e-45
"X7938",0.807128326446796
"X7939",0.944294967725041
"X7955",0.906922387974408
"X7961",0.322011545038736
"X7962",0.850715341796536
"X7967",0.918011543572404
"X7986",0.8974957815726
"X7994",0.833098280281171
"X8003",0.891093410068717
"X8010",0.758719877153362
"X8011",0.857613652993046
"X8014",0.179552667828824
"X8015",0.917252232645042
"X8016",0.848034106409979
"X8047",0.860863146079344
"X8065",0.790953483669954
"X8067",0.866935391983837
"X8072",0.879656114882026
"X8073",1.6616365481201e-27
"X8080",0.83490046432403
"X8087",0.014151013479764
"X8107",0.845122113444054
"X8113",0.771471401531883
"X8114",0.816093002413387
"X8127",0.745388287031879
"X8134",0.74881129999622
"X8149",0.806841493317024
"X8152",0.944480774817429
"X8154",0.851145669130712
"X8160",0.854881343653906
"X8177",0.860376171693373
"X8185",0.8833372368079
"X8186",0.937530097934636
"X8192",0.86252370719235
"X8213",0.842522520254023
"X8230",0.337686702606849
"X8233",0.526410240702943
"X8253",0.839070991200185
"X8275",0.801988398828947
"X8276",0.824111678984286
"X8294",0.64520513828225
"X8295",0.887035281151647
"X8298",1.34673418393182e-12
"X8341",0.890115238877565
"X8362",0.858595358986162
"X8363",0.806503779173157
"X8370",0.800403339216418
"X8401",0.897396506867949
"X8403",0.859494154936801
"X8405",0.853368784743129
"X8411",0.871669228523093
"X8413",0.067357366297757
"X8416",0.934076765665662
"X8417",0.877695445918209
"X8418",0.954552050248875
"X8435",0.880646408840345
"X8443",0.761417933672387
"X8450",0.78821573170061
"X8517",0.820138606702485
"X8523",0.864993040643744
"X8529",0.926050721160904
"X8534",0.894334805254092
"X8539",0.705562873848833
"X8542",0.801173832856069
"X8562",0.878422165910079
"X8569",0.778254257711103
"X8572",0.579729441683791
"X8574",0.866731662974851
"X8603",0.898226756072382
"X8616",0.947700325992554
"X8636",0.749919303577228
"X8640",0.946881666091134
"X8675",8.91632608617729e-231
"X8715",0.78203028061692
"X8719",0.918797840756123
"X8726",0.893745687479227
"X8729",0.82818828681206
"X8732",0.858848160065606
"X8735",0.293397301064707
"X8752",0.790750439126143
"X8755",0.943118985007753
"X8756",0.901791088721966
"X8816",0.90367532987095
"X8822",0.257240484953072
"X8823",0.689714917111323
"X8826",0.366869038764696
"X8835",1.57730031686799e-18
"X8842",0.827986653259971
"X8852",0.157128051634218
"X8856",0.866039214311913
"X8865",0.920780755973762
"X8866",0.414129493262533
"X8894",0.00517844987172168
"X8904",0.564380885816842
"X8905",0.929458160039783
"X8936",0.85154874908194
"X8952",1.09236078550361e-09
"X8964",0.937015353466288
"X8980",0.259921983977381
"X8995",0.71325094509793
"X9005",0.743149796513246
"X9047",0.848454860309995
"X9049",0.83835486155127
"X9050",0.608642898817608
"X9060",0.812720636656286
"X9061",0.271613343669684
"X9064",5.14454469758033e-26
"X9072",0.876361045349511
"X9074",0.875165663323016
"X9079",0.768556423126098
"X9085",0.682807454492808
"X9096",0.630258913721528
"X9155",0.437719868593124
"X9156",0.801007538736693
"X9157",4.37251213990334e-180
"X9163",0.00138182029399609
"X9174",0.411615099038658
"X9179",0.475087077884426
"X9180",0.525708983027418
"X9184",0.845447155845533
"X9192",0.675753227254535
"X9196",0.923136751627575
"X9204",0.914195449370293
"X9221",0.109024865953824
"X9227",0.887845395909687
"X9233",0.713720665514635
"X9240",0.828108628115254
"X9248",0.000874474896259214
"X9256",5.18100747339353e-123
"X9277",0.788033946515396
"X9279",0.850837997386781
"X9284",0.886095949131594
"X9290",0.83530002180867
"X9295",0.929613401593918
"X9306",0.812853419562296
"X9307",0.23990184157881
"X9308",0.862502320515394
"X9319",0.639376738819362
"X9321",2.07422677655884e-16
"X9329",0.754176850744158
"X9339",0.915919582506137
"X9347",0.731996410949755
"X9383",0.799547126763827
"X9394",0.821733309626527
"X9396",0.811462433667554
"X9403",0.871662893565778
"X9409",0.943388005691764
"X9428",0.950073567702408
"X9429",0.871004983735782
"X9432",0.898368413914567
"X9451",0.868433599775737
"X9453",0.814580474063242
"X9488",0.634541865471718
"X9489",0.408462993538091
"X9494",0.844626166041391
"X9535",0.797002030130467
"X9545",0.949410512723631
"X9552",0.888271284420568
"X9562",0.783648849989908
"X9563",0.929469395985343
"X9565",0.935758327132968
"X9590",0.921980815800828
"X9592",0.509224427937959
"X9598",0.391230598137066
"X9605",0.849168574826653
"X9607",0.0598012816620805
"X9612",0.869776398887083
"X9616",0.925356860608153
"X9625",0.909144040339467
"X9626",0.895632477177166
"X9658",0.907964313131399
"X9669",0.711452062203443
"X9678",0.884101760171832
"X9679",0.902577567389384
"X9680",0.910225122909181
"X9705",0.737176725760107
"X9707",0.946586927541874
"X9711",0.071073649187308
"X9733",0.937406242209336
"X9734",0.13435814851122
"X9737",0.93541551811207
"X9753",0.876790961585282
"X9756",0.827928962250839
"X9789",0.420929951063517
"X9809",0.944506541261674
"X9816",0.717875732678881
"X9859",0.0759547561635818
"X9889",0.783628424084016
"X9896",0.820514700187559
"X9902",0.872194361929006
"X9905",0.816215789014206
"X9921",0.821792026825448
"X9922",0.95549382659055
"X9925",0.846730257597918
