"","RSD"
"X17623",0.117855
"X17648",0.058881
"X17677",0.206635
"X17704",0.057533
"X17731",0.1871
"X17782",0.12455
"X17838",0.002912
"X17895",0.071928
"X17938",0.180659
"X17986",0.109605
"X18016",0.085855
"X18034",0.138975
"X18078",0.182334
"X18138",0.098913
"X18164",0.12154
"X18165",0.112268
"X18169",0.105344
"X18174",0.031764
"X18196",0.054611
"X18229",0.059832
"X18252",0.017104
"X18303",0.142571
"X18308",0.030198
"X18309",0.059082
"X18333",0.015289
"X18337",0.057105
"X18409",0.088266
"X18471",0.047398
"X18483",0.058571
"X18568",0.041736
"X18639",0.073209
"X18708",0.021808
"X18710",0.060877
"X18720",0.176745
"X18741",0.019013
"X18747",0.014415
"X18751",0.074531
"X18758",0.013901
"X18940",0.100331
"X18950",0.004332
"X18964",0.024807
"X18967",0.007118
"X18974",0.137873
"X19081",0.160407
"X19094",0.186732
"X19103",0.034715
"X19104",0.116579
"X19147",0.100761
"X19158",0.057406
"X19170",0.008697
"X19175",0.132173
"X19204",0.06603
"X19245",0.054609
"X19251",0.03889
"X19284",0.033818
"X19322",0.099206
"X19358",0.103591
"X19378",0.095623
"X19382",0.113471
"X19416",0.10359
"X19429",0.013924
"X19433",0.010476
"X19440",0.089764
"X19452",0.106829
"X19465",0.131682
"X19512",0.008216
"X19531",0.087258
"X19549",0.127672
"X19550",0.12496
"X19555",0.025336
"X19558",0.145352
"X19564",0.184926
"X19699",0.179989
"X19834",0.169608
"X19875",0.075474
"X19891",0.007818
"X19905",0.063228
"X19950",0.142407
"X19953",0.145063
"X19970",0.168757
"X20001",0.095317
"X20017",0.00754
"X20040",0.107196
"X20067",0.136946
"X20178",0.05783
"X20225",0.034467
"X20231",0.060352
"X20244",0.110409
"X20277",0.013009
"X20281",0.075695
"X20289",0.04635
"X20308",0.073362
"X20313",0.034252
"X20356",0.092678
"X20372",0.147142
"X20400",0.180373
"X20426",0.097299
"X20437",0.042617
"X20444",0.055129
"X20445",0.135698
"X20464",0.081951
"X20501",0.030667
"X20515",0.026127
"X20560",0.06624
"X20637",0.056917
"X20684",0.16928
"X20699",0.156737
"X20728",0.014509
"X20730",0.047706
"X20747",0.115791
"X20784",0.023398
"X20827",0.131513
"X20839",0.074739
"X20863",0.060334
"X20867",0.078493
"X20886",0.087818
"X20900",0.009975
"X20967",0.15516
"X21014",0.051113
"X21020",0.025857
"X21064",0.095362
"X21078",0.151253
"X21080",0.036338
"X21096",0.08703
"X21099",0.178044
"X21111",0.016948
"X21167",0.040762
"X21205",0.055598
"X21225",0.077974
"X21258",0.12671
"X21282",0.071981
"X21304",0.071045
"X21331",0.06556
"X21347",0.18943
"X21362",0.097175
"X21395",0.076441
"X21435",0.030349
"X21438",0.081691
"X21488",0.052401
"X21518",0.00453
"X21519",0.050803
"X21527",0.051715
"X21529",0.129939
"X21532",0.077778
"X21543",0.121828
"X21547",0.005565
"X21557",0.138848
"X21562",0.143813
"X21634",0.087842
"X21640",0.064132
"X21682",0.083275
"X21685",0.121566
"X21697",0.153561
"X21722",0.06232
"X21731",0.027415
"X21735",0.005681
"X21772",0.092845
"X21778",0.099393
"X21785",0.072935
"X21816",0.131054
"X21832",0.119131
"X21861",0.178126
"X21873",0.053557
"X21878",0.01203
"X21879",0.04012
"X21900",0.007302
"X21905",0.100564
"X21914",0.144853
"X21919",0.01255
"X21921",0.071573
"X21955",0.080186
"X21964",0.093514
"X21986",0.168477
"X22021",0.018418
"X22044",0.045194
"X22086",0.019427
"X22105",0.123538
"X22136",0.024068
"X22138",0.007846
"X22161",0.066126
"X22218",0.090248
"X22242",0.107647
"X22266",0.125549
"X22278",0.015758
"X22279",0.007133
"X22293",0.088978
"X22298",0.018909
"X22323",0.082903
"X22339",0.139559
"X22358",0.107192
"X22361",0.178566
"X22394",0.015004
"X22402",0.080201
"X22404",0.120436
"X22427",0.028886
"X22431",0.107153
"X22445",0.051619
"X22460",0.035255
"X22462",0.005323
"X22466",0.173266
"X22483",0.063804
"X22486",0.022912
"X22489",0.010158
"X22491",0.067489
"X22508",0.049374
"X22528",0.087186
"X22530",0.012305
"X22532",0.011316
"X22583",0.035738
"X22628",0.086565
"X22632",0.137829
"X22635",0.005219
"X22687",0.03588
"X22689",0.114263
"X22693",0.136295
"X22772",0.116904
"X22790",0.206196
"X22822",0.093923
"X22825",0.177161
"X22836",0.19631
"X22843",0.087194
"X22844",0.044654
"X22868",0.0558
"X22889",0.124644
"X22942",0.028494
"X22958",0.056368
"X22969",0.155842
"X22997",0.190198
"X23005",0.06112
"X23035",0.178729
"X23060",0.066768
"X23062",0.075628
"X23070",0.077144
"X23091",0.222169
"X23096",0.031205
"X23102",0.077914
"X23167",0.023818
"X23190",0.039276
"X23207",0.11833
"X23220",0.052286
"X23232",0.075998
"X23233",0.072419
"X23267",0.083353
"X23287",0.120081
"X23330",0.079541
"X23355",0.046174
"X23403",0.220113
"X23421",0.069029
"X23452",0.071773
"X23494",0.047235
"X23511",0.140053
"X23584",0.1353
"X23631",0.050853
"X23645",0.139603
"X23658",0.107742
"X23662",0.101614
"X23697",0.038882
"X23715",0.065677
"X23729",0.050967
"X23731",0.078233
"X23748",0.046979
"X23791",0.008807
"X23832",0.075071
"X23866",0.019312
"X23875",0.018188
"X23877",0.026196
"X23883",0.085202
"X23906",0.084406
"X23914",0.028377
"X23922",0.06926
"X23943",0.080334
"X23979",0.093946
"X23984",0.055668
"X23991",0.039614
"X24006",0.145809
"X24024",0.131568
"X24046",0.081031
"X24060",0.1314
"X24064",0.225841
"X24079",0.106175
"X24100",0.103355
"X24150",0.137841
"X24171",0.069631
"X24217",0.047754
"X24236",0.047729
"X24251",0.130634
"X24266",0.11841
"X24291",0.019877
"X24304",0.090783
"X24307",0.088477
"X24334",0.135014
"X24342",0.039088
"X24355",0.105617
"X24357",0.179194
"X24372",0.082699
"X24388",0.027249
"X24434",0.092361
"X24471",0.22879
"X24485",0.138823
"X24493",0.109252
"X24519",0.017821
"X24529",0.066719
"X24549",0.017242
"X24584",0.078435
"X24603",0.138746
"X24615",0.046825
"X24642",0.034539
"X24684",0.135004
"X24706",0.073296
"X24729",0.181278
"X24768",0.064736
"X24777",0.022331
"X24779",0.01655
"X24794",0.068735
"X24802",0.057494
"X24864",0.014941
"X24893",0.014139
"X24929",0.201563
"X24937",0.107236
"X24982",0.173441
"X25055",0.154039
"X25071",0.082763
"X25084",0.021088
"X25104",0.092246
"X25185",0.17275
"X25198",0.128669
"X25203",0.014697
"X25207",0.094409
"X25214",0.135048
"X25245",0.024325
"X25260",0.070254
"X25262",0.1128
"X25272",0.142032
"X25285",0.085033
"X25299",0.015704
"X25301",0.06034
"X25354",0.05809
"X25362",0.051239
"X25365",0.124233
"X25429",0.014737
"X25441",0.111575
"X25453",0.018906
"X25458",0.0853
"X25488",0.140649
"X25491",0.161154
"X25506",0.074223
"X25514",0.075813
"X25543",0.098906
"X25561",0.132526
"X25578",0.066762
"X25585",0.041927
"X25593",0.024324
"X25594",0.114923
"X25596",0.078568
"X25634",0.036377
"X25658",0.100765
"X25661",0.099624
"X25676",0.12869
"X25718",0.06971
"X25720",0.234475
"X25724",0.015417
"X25755",0.244201
"X25768",0.101121
"X25773",0.010668
"X25804",0.119532
"X25811",0.181478
"X25820",0.069872
"X25827",0.24966
"X25836",0.108272
"X25845",0.004578
"X25860",0.074878
"X25864",0.258877
"X25895",0.019226
"X25917",0.08607
"X25919",0.050983
"X25947",0.100037
"X25968",0.025269
"X25973",0.280208
"X25985",0.10466
"X26006",0.121065
"X26057",0.018371
"X26093",0.06061
"X26113",0.062351
"X26121",0.121038
"X26153",0.066138
"X26218",0.046565
"X26230",0.113105
"X26263",0.095805
"X26362",0.086001
"X26373",0.135145
"X26374",0.142634
"X26406",0.095826
"X26416",0.083255
"X26437",0.168713
"X26442",0.115809
"X26471",0.021906
"X26513",0.040379
"X26569",0.041261
"X26596",0.108757
"X26689",0.181628
"X26732",0.062297
"X26777",0.084252
"X26792",0.044381
"X26838",0.010002
"X26840",0.199768
"X26886",0.195794
"X27021",0.124826
"X27027",0.109409
"X27029",0.054865
"X27072",0.048982
"X27156",0.171376
"X27183",0.070922
"X27198",0.095989
"X27226",0.016652
"X27238",0.102027
"X27247",0.237443
"X27290",0.104892
"X27307",0.061296
"X27333",0.017885
"X27386",0.132654
"X27387",0.107775
"X27391",0.138337
"X27394",0.081108
"X27430",0.116276
"X27437",0.004673
"X27492",0.077865
"X27594",0.110987
"X27637",0.079776
"X27674",0.094237
"X27715",0.015759
"X27717",0.139697
"X27726",0.013708
"X27738",0.065623
"X27768",0.099914
"X27843",0.170315
"X27855",0.163427
"X27883",0.072925
"X27898",0.019825
"X27977",0.030633
"X27985",0.191978
"X28012",0.173625
"X28026",0.131915
"X28060",0.024394
"X28087",0.123613
"X28108",0.115783
"X28110",0.082387
