"","foldChanges"
"X95",0.747553816046967
"X105",1.00783289817232
"X106",1.03367875647668
"X140",0.958246346555324
"X174",1.09066666666667
"X176",1.58389261744966
"X196",0.985537190082645
"X199",0.441971383147854
"X212",0.881313131313131
"X241",1.15945945945946
"X264",1.83467741935484
"X265",1.03475935828877
"X267",0.758551307847082
"X279",0.940919037199125
"X285",1.21135646687697
"X286",1.07073170731707
"X289",4.96774193548387
"X324",0.550595238095238
"X329",1.16492146596859
"X330",0.663430420711974
"X344",1.23028391167192
"X365",1.06113537117904
"X417",1.06650246305419
"X436",0.953703703703704
"X448",0.453525641025641
"X463",0.642487046632124
"X465",0.655948553054662
"X471",0.988505747126437
"X477",1.03544303797468
"X484",0.995555555555556
"X493",1.17763157894737
"X513",0.872958257713249
"X515",1.01412429378531
"X517",1.17167381974249
"X520",1
"X528",1.08587786259542
"X533",0.698039215686274
"X535",0.865296803652968
"X536",0.442492012779553
"X545",1.00840336134454
"X580",1.60514018691589
"X589",0.998341625207297
"X591",0.992481203007519
"X596",1.2039312039312
"X625",0.476145930776427
"X644",1.4006734006734
"X646",4.74683544303798
"X654",1.01452282157676
"X663",0.696869851729819
"X669",1.04569892473118
"X674",0.703846153846154
"X725",1.06201550387597
"X788",0.987654320987654
"X792",0.435146443514644
"X796",0.831168831168831
"X813",0.884368308351178
"X814",4.2619926199262
"X817",1.11072664359862
"X820",0.722513089005235
"X829",1.18232044198895
"X831",1.65948275862069
"X862",1
"X867",0.897172236503856
"X868",0.88433734939759
"X869",0.914948453608248
"X884",0.978174603174603
"X886",1.11764705882353
"X898",0.489430894308943
"X899",1.09701492537313
"X919",0.963054187192118
"X950",0.901918976545842
"X951",1.00689655172414
"X954",0.993775933609958
"X990",0.736077481840194
"X995",1.28103044496487
"X997",0.414948453608247
"X1015",0.951526032315978
"X1016",0.951276102088167
"X1029",1.02647657841141
"X1045",0.91588785046729
"X1050",0.963054187192118
"X1051",0.997416020671835
"X1055",1.42899408284024
"X1070",1.09133489461358
"X1072",1.13756613756614
"X1090",0.8023598820059
"X1103",0.9957805907173
"X1114",1.06779661016949
"X1116",1.03748125937031
"X1128",0.87719298245614
"X1130",1.91472868217054
"X1134",1.05744125326371
"X1154",0.741058655221745
"X1159",0.806382978723404
"X1167",1.12715517241379
"X1186",0.945107398568019
"X1188",1.08375634517767
"X1212",1.13766233766234
"X1213",1.02570694087404
"X1221",0.645705521472393
"X1222",0.641156462585034
"X1226",0.858585858585859
"X1228",1.03319502074689
"X1237",0.778378378378378
"X1256",1.08719346049046
"X1264",0.645602049530316
"X1268",0.906005221932115
"X1269",0.877880184331797
"X1271",0.416036308623298
"X1284",1.15540540540541
"X1285",1.0498753117207
"X1292",0.946009389671362
"X1298",1.21848739495798
"X1303",0.945026178010471
"X1320",0.971867007672634
"X1325",0.701550387596899
"X1329",0.991869918699187
"X1332",0.917274939172749
"X1336",1.33766233766234
"X1348",0.853333333333333
"X1349",1.10914454277286
"X1350",0.46751123825092
"X1364",1.71615720524017
"X1380",1.11197916666667
"X1386",1.05122950819672
"X1389",0.887596899224806
"X1410",1.10481586402266
"X1413",1.09767441860465
"X1415",0.923076923076923
"X1425",0.423948220064725
"X1444",0.864406779661017
"X1445",1.04848484848485
"X1453",1.09550561797753
"X1475",1.0726872246696
"X1484",1.10956175298805
"X1506",1.10817307692308
"X1510",1.55454545454545
"X1511",1.47483588621444
"X1513",0.758436944937833
"X1514",1.15990990990991
"X1534",1.37596899224806
"X1557",0.918533604887984
"X1595",0.882352941176471
"X1601",1.03883495145631
"X1607",0.879901960784314
"X1618",1.19938650306748
"X1649",0.726744186046512
"X1658",0.645865834633385
"X1694",1.73529411764706
"X1696",1.29545454545455
"X1739",1.109375
"X1741",1.07106598984772
"X1774",0.80982905982906
"X1775",1.06068601583113
"X1776",1.01587301587302
"X1785",0.753768844221106
"X1800",1.15625
"X1812",0.894039735099338
"X1813",0.744578313253012
"X1832",1.00574712643678
"X1836",0.851590106007067
"X1837",1.02894736842105
"X1847",1.15047021943574
"X1862",1.09307875894988
"X1868",1.08128078817734
"X1870",0.454207920792079
"X1882",1.04922279792746
"X1892",0.947004608294931
"X1893",1.07425742574257
"X1896",1.89
"X1898",0.985257985257985
"X1911",0.753479125248509
"X1921",0.900900900900901
"X1928",0.502479338842975
"X1942",0.836996336996337
"X1949",1
"X1951",0.666666666666667
"X1952",0.866225165562914
"X1955",0.730834752981261
"X1957",0.762081784386617
"X1959",1.07374631268437
"X1960",1.01237113402062
"X1964",0.631034482758621
"X1979",0.729235880398671
"X1991",1.3258064516129
"X2020",1.04307692307692
"X2027",1.18705035971223
"X2028",6.58730158730159
"X2029",0.79126213592233
"X2035",6.63218390804598
"X2078",1.43703703703704
"X2079",0.959083469721768
"X2086",1.02465753424658
"X2094",1.0989247311828
"X2095",0.792151162790698
"X2104",0.945454545454545
"X2111",0.633279483037157
"X2116",0.950248756218905
"X2128",1.47988505747126
"X2133",0.820097244732577
"X2153",0.884244372990354
"X2154",1.11747851002865
"X2164",1.14565826330532
"X2183",1.3027027027027
"X2190",0.748373101952278
"X2194",1.07228915662651
"X2203",0.422360248447205
"X2205",1.01327433628319
"X2216",0.694842406876791
"X2222",1.12212389380531
"X2240",0.874172185430463
"X2248",1.26170798898072
"X2249",1.15804597701149
"X2257",0.953771289537713
"X2272",1.24137931034483
"X2273",1.1258064516129
"X2288",0.977055449330784
"X2291",0.8125
"X2294",0.639691714836223
"X2304",0.237849017580145
"X2306",0.727788279773157
"X2310",0.938156359393232
"X2322",0.776831345826235
"X2328",1.05741626794258
"X2331",1.06104651162791
"X2332",0.663280116110305
"X2335",1.35836909871245
"X2339",0.619957537154989
"X2351",0.913135593220339
"X2365",0.567665758401453
"X2370",1.09210526315789
"X2371",6.55405405405405
"X2374",0.936681222707424
"X2383",0.984455958549223
"X2393",0.311254980079681
"X2398",0.882183908045977
"X2403",1.15608919382504
"X2404",0.693631669535284
"X2411",0.925
"X2420",1.53142857142857
"X2427",1.14450867052023
"X2458",0.995792426367461
"X2470",0.497395833333333
"X2474",1.9067055393586
"X2500",0.951219512195122
"X2505",1.05486284289277
"X2510",1.01395348837209
"X2519",0.973415132924335
"X2520",3.52173913043478
"X2523",0.646728971962617
"X2529",1.0945558739255
"X2532",9.98039215686275
"X2546",1.14824797843666
"X2547",0.326725905673274
"X2554",0.654166666666667
"X2578",1.06971677559913
"X2586",2.54393305439331
"X2604",1.01006036217304
"X2611",1.08796296296296
"X2616",1.03195739014647
"X2622",7.89010989010989
"X2627",1.27272727272727
"X2646",0.745011086474501
"X2650",1.16961130742049
"X2652",1.04892966360856
"X2654",1.46125461254613
"X2668",0.835671342685371
"X2670",0.898039215686275
"X2671",0.5895865237366
"X2704",1.046875
"X2713",0.83921568627451
"X2716",11.1016949152542
"X2731",1.05070422535211
"X2733",1.09322033898305
"X2742",1.46131805157593
"X2759",1.20195439739414
"X2763",2.47788873038516
"X2765",1.33236994219653
"X2769",1.00258397932817
"X2777",0.453177257525084
"X2781",0.79175704989154
"X2785",0.921800947867299
"X2790",1.18121911037891
"X2793",0.78118609406953
"X2813",1.09016393442623
"X2819",1.1031746031746
"X2821",0.888888888888889
"X2831",0.841091492776886
"X2836",1.02336448598131
"X2844",0.6528
"X2848",1.09714285714286
"X2851",0.839486356340289
"X2852",1.3843537414966
"X2863",1.01883239171375
"X2867",0.588405797101449
"X2871",0.876574307304786
"X2875",1.0974358974359
"X2882",4.85148514851485
"X2899",1.11720698254364
"X2903",0.991228070175439
"X2904",0.741052631578947
"X2907",1.12530120481928
"X2908",0.691235059760956
"X2910",1.16867469879518
"X2921",1.23835616438356
"X2927",1.04281345565749
"X2928",0.859275053304904
"X2937",1.07756232686981
"X2941",1.3974025974026
"X2945",0.933333333333333
"X2948",0.871331828442438
"X2971",0.981273408239701
"X2977",1.12435233160622
"X3009",1.26506024096386
"X3014",1.21549636803874
"X3015",1.19031141868512
"X3017",1.06526806526807
"X3037",0.850719424460432
"X3044",1.16101694915254
"X3050",0.861510791366907
"X3052",1.16981132075472
"X3055",1.25219941348974
"X3067",1.09433962264151
"X3074",2.61576354679803
"X3089",0.558292282430214
"X3094",0.819025522041763
"X3096",22.2272727272727
"X3097",1.08227848101266
"X3101",1.08318584070796
"X3106",1.02278820375335
"X3116",1.19148936170213
"X3129",0.950684931506849
"X3130",8.73684210526316
"X3132",0.906194690265487
"X3136",0.900175131348511
"X3170",20.6666666666667
"X3178",0.958
"X3184",1.24619289340102
"X3185",1.221875
"X3198",0.885209713024283
"X3222",1.0062893081761
"X3227",0.744227353463588
"X3232",1.65953654188948
"X3243",0.532374100719424
"X3248",1.07643312101911
"X3257",4.71875
"X3259",1.10485933503836
"X3266",1.15625
"X3269",0.781818181818182
"X3280",1.02132701421801
"X3294",0.830663615560641
"X3309",1.438127090301
"X3313",0.99344262295082
"X3349",1.29117647058824
"X3356",1.08296943231441
"X3364",0.647058823529412
"X3391",1.6875
"X3398",1.18639053254438
"X3427",1.16229116945107
"X3430",1.39138240574506
"X3439",1.08908045977011
"X3442",0.868457300275482
"X3448",0.960919540229885
"X3472",7.91111111111111
"X3483",0.822323462414579
"X3487",1.15646258503401
"X3494",0.91609977324263
"X3495",1.03132530120482
"X3508",1.02439024390244
"X3529",1.05645161290323
"X3533",0.733082706766917
"X3537",1.11676646706587
"X3544",0.895883777239709
"X3547",1.23052959501558
"X3552",0.915322580645161
"X3561",1.68724279835391
"X3580",0.983050847457627
"X3590",0.653088042049934
"X3594",0.909465020576132
"X3614",0.561440677966102
"X3615",0.919298245614035
"X3620",0.75
"X3621",1.77491961414791
"X3680",0.613084112149533
"X3682",1.18115942028986
"X3690",1.02099737532808
"X3697",0.953488372093023
"X3698",0.927272727272727
"X3701",0.652694610778443
"X3725",0.836438923395445
"X3732",0.864306784660767
"X3733",0.886836027713626
"X3749",1.24922118380062
"X3752",0.92358803986711
"X3753",1.29611650485437
"X3757",1.01703163017032
"X3760",28.8888888888889
"X3778",1.08130081300813
"X3780",7.90909090909091
"X3784",0.363557105492589
"X3788",0.457236842105263
"X3791",4.15463917525773
"X3797",0.816091954022989
"X3821",1.4185393258427
"X3838",1.02910602910603
"X3840",0.481865284974093
"X3854",0.904661016949153
"X3865",1.39650872817955
"X3874",2.36410256410256
"X3880",24.8333333333333
"X3881",54.9090909090909
"X3888",1.10555555555556
"X3892",0.88
"X3894",0.763368983957219
"X3920",0.995433789954338
"X3928",1.11748633879781
"X3947",0.639097744360902
"X3962",1.10831721470019
"X3971",2.20849420849421
"X3982",1.03556187766714
"X3983",0.66759388038943
"X3985",7.046875
"X3987",0.750980392156863
"X3988",0.984513274336283
"X3995",0.869565217391304
"X4004",1.12544802867384
"X4036",0.81640146878825
"X4059",0.941834451901566
"X4062",1.31940298507463
"X4063",0.592927631578947
"X4064",1.00657894736842
"X4072",1.1733746130031
"X4074",0.928879310344828
"X4075",1.06962962962963
"X4080",1.02836879432624
"X4084",0.978915662650602
"X4107",0.767228177641654
"X4109",1.05454545454545
"X4110",1.26149425287356
"X4119",0.669741697416974
