"","foldChanges"
"X95",1.17801047120419
"X105",1.01036269430052
"X106",1.11027568922306
"X140",1.27015250544662
"X174",1.20048899755501
"X176",0.810734463276836
"X196",1.0335429769392
"X199",2.20503597122302
"X212",0.974212034383954
"X241",0.906759906759907
"X264",0.615384615384615
"X265",0.971576227390181
"X267",1.07427055702918
"X279",1.18837209302326
"X285",0.768229166666667
"X286",0.968109339407745
"X289",0.313311688311688
"X324",1.81081081081081
"X329",0.910112359550562
"X330",1.56829268292683
"X344",0.782051282051282
"X365",1.06584362139918
"X417",0.937644341801386
"X436",1.00728155339806
"X448",2.11660777385159
"X463",1.60752688172043
"X465",1.69607843137255
"X471",1.06046511627907
"X477",0.975550122249389
"X484",1.02455357142857
"X493",0.787709497206704
"X513",1.14760914760915
"X515",0.885793871866295
"X517",0.901098901098901
"X520",0.969151670951157
"X528",0.984182776801406
"X533",1.21629213483146
"X535",0.963060686015831
"X536",2.1985559566787
"X545",1
"X580",0.787481804949054
"X589",1.22757475083056
"X591",0.866161616161616
"X596",0.893877551020408
"X625",1.37917485265226
"X644",0.641826923076923
"X646",0.205333333333333
"X654",1.03476482617587
"X663",1.35697399527187
"X669",0.969151670951157
"X674",1.4344262295082
"X725",0.897810218978102
"X788",1.0275
"X792",2.04807692307692
"X796",1.20052083333333
"X813",1.11864406779661
"X814",0.354978354978355
"X817",0.912772585669782
"X820",1.40821256038647
"X829",0.932242990654206
"X831",0.631168831168831
"X862",0.956410256410256
"X867",1.16618911174785
"X868",1.04904632152589
"X869",1.07042253521127
"X884",1.04868154158215
"X886",0.932748538011696
"X898",2.2890365448505
"X899",0.977324263038549
"X919",1.04859335038363
"X950",0.966903073286052
"X951",0.917808219178082
"X954",0.985386221294363
"X990",1.21052631578947
"X995",1.0109689213894
"X997",1.72670807453416
"X1015",1.27358490566038
"X1016",1.11463414634146
"X1029",1.02579365079365
"X1045",1.33877551020408
"X1050",1.0460358056266
"X1051",0.906735751295337
"X1055",0.790890269151139
"X1070",1.0343347639485
"X1072",1.2
"X1090",1.01838235294118
"X1103",1.00635593220339
"X1114",0.944444444444444
"X1116",1.01734104046243
"X1128",0.948571428571429
"X1130",0.493927125506073
"X1134",1.01728395061728
"X1154",1.22779922779923
"X1159",1.16622691292876
"X1167",0.892925430210325
"X1186",0.987373737373737
"X1188",0.960187353629977
"X1212",0.908675799086758
"X1213",0.974937343358396
"X1221",1.41805225653207
"X1222",1.13793103448276
"X1226",1.21470588235294
"X1228",0.913654618473896
"X1237",1.42824074074074
"X1256",0.972431077694236
"X1264",1.48015873015873
"X1268",1.06340057636888
"X1269",1.08136482939633
"X1271",1.76727272727273
"X1284",0.875243664717349
"X1285",0.995249406175772
"X1292",1
"X1298",0.777586206896552
"X1303",1.10526315789474
"X1320",1.01052631578947
"X1325",1.43922651933702
"X1329",1.11475409836066
"X1332",1.15384615384615
"X1336",0.970873786407767
"X1348",1.27083333333333
"X1349",0.821808510638298
"X1350",2.29020979020979
"X1364",0.460559796437659
"X1380",0.861826697892272
"X1386",0.961013645224171
"X1389",1.34934497816594
"X1410",1.2025641025641
"X1413",0.925847457627119
"X1415",1.16056910569106
"X1425",2.31679389312977
"X1444",1.10338680926916
"X1445",0.969171483622351
"X1453",0.953846153846154
"X1475",0.924024640657084
"X1484",0.885098743267504
"X1506",1.01084598698482
"X1510",0.699805068226121
"X1511",0.701780415430267
"X1513",0.967213114754098
"X1514",0.85631067961165
"X1534",0.887323943661972
"X1557",1.07982261640798
"X1595",0.961111111111111
"X1601",1.02803738317757
"X1607",1
"X1618",0.843989769820972
"X1649",1.384
"X1658",1.68115942028986
"X1694",0.76271186440678
"X1696",0.822055137844612
"X1739",0.957746478873239
"X1741",0.919431279620853
"X1774",1.03430079155673
"X1775",0.895522388059702
"X1776",1.02604166666667
"X1785",1.13555555555556
"X1800",0.884169884169884
"X1812",1.22222222222222
"X1813",1.18770226537217
"X1832",0.985714285714286
"X1836",1.01867219917012
"X1837",0.930946291560102
"X1847",0.719346049046322
"X1862",0.875545851528384
"X1868",0.769931662870159
"X1870",1.86648501362398
"X1882",1.21481481481482
"X1892",1.00486618004866
"X1893",0.8963133640553
"X1896",0.529100529100529
"X1898",0.980049875311721
"X1911",1.37203166226913
"X1921",1.35
"X1928",2.27302631578947
"X1942",1.25601750547046
"X1949",0.94919168591224
"X1951",1.12978723404255
"X1952",1.1605504587156
"X1955",1.46853146853147
"X1957",1.13414634146341
"X1959",0.870879120879121
"X1960",0.969450101832994
"X1964",1.80874316939891
"X1979",1.35307517084282
"X1991",0.854014598540146
"X2020",0.938053097345133
"X2027",0.857575757575758
"X2028",0.175903614457831
"X2029",1.41308793456033
"X2035",0.136915077989601
"X2078",0.708762886597938
"X2079",1.07849829351536
"X2086",0.973262032085562
"X2094",1.02152641878669
"X2095",1.39266055045872
"X2104",0.71875
"X2111",1.5969387755102
"X2116",1.17539267015707
"X2128",0.654368932038835
"X2133",1.06521739130435
"X2153",0.927272727272727
"X2154",0.958974358974359
"X2164",0.938875305623472
"X2183",0.802904564315353
"X2190",1.21739130434783
"X2194",0.907303370786517
"X2203",2.13725490196078
"X2205",1
"X2216",1.49896907216495
"X2222",0.933753943217666
"X2240",1.19444444444444
"X2248",0.90174672489083
"X2249",0.987593052109181
"X2257",1.05357142857143
"X2272",0.903703703703704
"X2273",1.02292263610315
"X2288",1.11154598825832
"X2291",1.17378917378917
"X2294",0.80421686746988
"X2304",1.28695652173913
"X2306",1.00779220779221
"X2310",0.996268656716418
"X2322",1.17543859649123
"X2328",0.950226244343891
"X2331",0.980821917808219
"X2332",1.68271334792123
"X2335",0.977883096366509
"X2339",1.44178082191781
"X2351",1.07888631090487
"X2365",1.8736
"X2370",0.968674698795181
"X2371",0.148453608247423
"X2374",1.12354312354312
"X2383",0.907894736842105
"X2393",3.0096
"X2398",1.2671009771987
"X2403",0.910979228486647
"X2404",1.3424317617866
"X2411",0.933660933660934
"X2420",0.858208955223881
"X2427",0.952020202020202
"X2458",1.07464788732394
"X2470",1.07329842931937
"X2474",0.519877675840979
"X2500",0.88034188034188
"X2505",0.877068557919622
"X2510",1.03440366972477
"X2519",1.01680672268908
"X2520",0.213991769547325
"X2523",0.979768786127168
"X2529",0.884816753926701
"X2532",0.106090373280943
"X2546",0.845070422535211
"X2547",2.19037656903766
"X2554",1.56687898089172
"X2578",1.09368635437882
"X2586",0.414473684210526
"X2604",1.02988047808765
"X2611",1.22127659574468
"X2616",0.945806451612903
"X2622",0.137883008356546
"X2627",0.855555555555556
"X2646",1.20535714285714
"X2650",0.936555891238671
"X2652",1.03790087463557
"X2654",0.813131313131313
"X2668",0.988009592326139
"X2670",0.995633187772926
"X2671",1.01298701298701
"X2704",0.838805970149254
"X2713",1.12383177570093
"X2716",0.0961832061068702
