"","foldChanges"
"X95",1.14029850746269
"X105",0.871331828442438
"X106",0.815950920245399
"X140",1.81422924901186
"X174",1.24316109422492
"X176",0.735966735966736
"X196",1.00632911392405
"X199",2.10606060606061
"X212",0.894871794871795
"X241",1.05925925925926
"X264",1.015625
"X265",0.877551020408163
"X267",1.19303797468354
"X279",1.00702576112412
"X285",0.914285714285714
"X286",0.977728285077951
"X289",2.49392712550607
"X324",1.73708920187793
"X329",0.944798301486199
"X330",0.845360824742268
"X344",1.07438016528926
"X365",1.14084507042254
"X417",1.09068010075567
"X436",1.27554179566563
"X448",0.578732106339468
"X463",1.84158415841584
"X465",3.37190082644628
"X471",1.09137055837563
"X477",1.14887640449438
"X484",1.16062176165803
"X493",0.850356294536817
"X513",1.15903614457831
"X515",0.994459833795014
"X517",0.694656488549618
"X520",1.09577464788732
"X528",1.19037656903766
"X533",1.21501706484642
"X535",0.861363636363636
"X536",6.29545454545455
"X545",0.975609756097561
"X580",0.714880332986472
"X589",0.846694796061885
"X591",0.87032967032967
"X596",1.04255319148936
"X625",2.28251121076233
"X644",0.681967213114754
"X646",0.682438580527753
"X654",0.850434782608696
"X663",1.92272727272727
"X669",1.21943573667712
"X674",1.21192052980132
"X725",0.958041958041958
"X788",0.97799511002445
"X792",2.31111111111111
"X796",1.4169741697417
"X813",1.1699716713881
"X814",4.11032028469751
"X817",0.911931818181818
"X820",2.00970873786408
"X829",0.895397489539749
"X831",0.817409766454352
"X862",0.987341772151899
"X867",1.16722408026756
"X868",0.941025641025641
"X869",0.964673913043478
"X884",1.18795180722892
"X886",0.886010362694301
"X898",2.98019801980198
"X899",1.05502392344498
"X919",0.824894514767933
"X950",0.746031746031746
"X951",0.84149855907781
"X954",1.23136246786632
"X990",1.73714285714286
"X995",0.715032679738562
"X997",0.881386861313869
"X1015",1.28953771289538
"X1016",0.847107438016529
"X1029",1.09803921568627
"X1045",1.01239669421488
"X1050",1.13662790697674
"X1051",1.02933333333333
"X1055",0.549488054607508
"X1070",0.958847736625514
"X1072",0.977272727272727
"X1090",1.37373737373737
"X1103",1.00212314225053
"X1114",0.728323699421965
"X1116",1.58352402745995
"X1128",0.806451612903226
"X1130",0.798491379310345
"X1134",1.16045845272206
"X1154",1.24819277108434
"X1159",1.01066666666667
"X1167",1.13449023861171
"X1186",0.963503649635036
"X1188",1.03140096618358
"X1212",1.05288461538462
"X1213",0.970802919708029
"X1221",1.8304347826087
"X1222",1.15644171779141
"X1226",1.00591715976331
"X1228",1.2
"X1237",1.4025974025974
"X1256",0.943262411347518
"X1264",1.36708860759494
"X1268",0.940379403794038
"X1269",0.902843601895735
"X1271",0.892857142857143
"X1284",1.10085836909871
"X1285",1.02933985330073
"X1292",0.952718676122931
"X1298",1.19341563786008
"X1303",0.989041095890411
"X1320",0.974358974358974
"X1325",1.95675675675676
"X1329",1.00618556701031
"X1332",1.02445652173913
"X1336",1.08041958041958
"X1348",1.6695652173913
"X1349",1.0835734870317
"X1350",1.43718592964824
"X1364",0.766081871345029
"X1380",0.959550561797753
"X1386",1.08686440677966
"X1389",1.80314960629921
"X1410",0.977443609022556
"X1413",0.932806324110672
"X1415",0.95906432748538
"X1425",9.03448275862069
"X1444",0.906300484652666
"X1445",0.89328743545611
"X1453",0.957446808510638
"X1475",0.891941391941392
"X1484",1.04896421845574
"X1506",0.788034188034188
"X1510",1.04056795131846
"X1511",1.22545454545455
"X1513",0.922246220302376
"X1514",0.877342419080068
"X1534",0.738045738045738
"X1557",0.963675213675214
"X1595",1.48760330578512
"X1601",0.823076923076923
"X1607",1.4078431372549
"X1618",0.757751937984496
"X1649",2.19298245614035
"X1658",3.11278195488722
"X1694",0.888888888888889
"X1696",0.76
"X1739",0.75531914893617
"X1741",1.10471204188482
"X1774",1.16257668711656
"X1775",0.959427207637232
"X1776",0.916467780429594
"X1785",1.08695652173913
"X1800",0.672727272727273
"X1812",1.02791878172589
"X1813",0.609467455621302
"X1832",1.12903225806452
"X1836",1.33518005540166
"X1837",1.01822916666667
"X1847",0.769392033542977
"X1862",0.870722433460076
"X1868",1.28739002932551
"X1870",1.41698841698842
"X1882",1.3728813559322
"X1892",1
"X1893",1.01401869158878
"X1896",0.749009247027741
"X1898",0.87746170678337
"X1911",1.48046875
"X1921",0.75187969924812
"X1928",0.0412371134020619
"X1942",1.52842809364548
"X1949",1.00231481481481
"X1951",1.25333333333333
"X1952",1.15752212389381
"X1955",1.39739413680782
"X1957",1.03274559193955
"X1959",0.978494623655914
"X1960",1.19756097560976
"X1964",0.0874760994263862
"X1979",1.84453781512605
"X1991",0.809055118110236
"X2020",0.588541666666667
"X2027",1.01226993865031
"X2028",0.693979933110368
"X2029",1.11136363636364
"X2035",0.715880893300248
"X2078",0.777555110220441
"X2079",1.14007782101167
"X2086",0.971428571428571
"X2094",1.11572052401747
"X2095",1.28537735849057
"X2104",1.06122448979592
"X2111",1.64016736401674
"X2116",0.936274509803922
"X2128",0.619735258724428
