"","x"
"1","X349"
"2","X543"
"3","X628"
"4","X989"
"5","X1000"
"6","X1059"
"7","X1084"
"8","X1377"
"9","X1465"
"10","X1488"
"11","X1596"
"12","X1678"
"13","X1885"
"14","X1895"
"15","X1933"
"16","X1949"
"17","X2007"
"18","X2031"
"19","X2054"
"20","X2126"
"21","X2176"
"22","X2259"
"23","X2289"
"24","X2291"
"25","X2399"
"26","X2418"
"27","X2453"
"28","X2471"
"29","X2504"
"30","X2656"
"31","X2661"
"32","X2872"
"33","X3068"
"34","X3069"
"35","X3151"
"36","X3238"
"37","X3320"
"38","X3339"
"39","X3430"
"40","X3595"
"41","X3596"
"42","X3632"
"43","X3673"
"44","X3679"
"45","X3715"
"46","X3775"
"47","X3803"
"48","X3900"
"49","X4178"
"50","X4211"
"51","X4218"
"52","X4224"
"53","X4298"
"54","X4322"
"55","X4395"
"56","X4434"
"57","X4667"
"58","X4711"
"59","X4758"
"60","X4782"
"61","X4791"
"62","X4847"
"63","X4886"
"64","X4887"
"65","X4912"
"66","X5008"
"67","X5071"
"68","X5121"
"69","X5136"
"70","X5348"
"71","X5386"
"72","X5455"
"73","X5517"
"74","X5685"
"75","X5774"
"76","X5793"
"77","X5884"
"78","X6032"
"79","X6343"
"80","X6432"
"81","X6469"
"82","X6516"
"83","X6601"
"84","X6818"
"85","X6838"
"86","X6868"
"87","X6909"
"88","X7056"
"89","X7170"
"90","X7499"
"91","X7582"
"92","X7972"
"93","X7980"
"94","X8034"
"95","X8156"
"96","X8280"
"97","X8283"
"98","X8435"
"99","X8537"
"100","X8704"
"101","X8812"
"102","X9247"
"103","X9596"
"104","X9659"
"105","X9696"
"106","X9733"
"107","X9780"
"108","X9781"
"109","X9906"
"110","X9992"
"111","X10307"
"112","X10342"
"113","X10351"
"114","X11145"
"115","X11179"
"116","X11455"
"117","X11548"
"118","X11895"
"119","X12094"
"120","X12247"
"121","X12298"
"122","X12590"
"123","X12812"
"124","X13556"
"125","X13669"
"126","X13726"
"127","X14163"
"128","X14209"
"129","X14757"
"130","X14820"
"131","X15164"
"132","X17350"
"133","X17838"
"134","X20225"
"135","X20308"
"136","X21111"
"137","X21914"
"138","X22293"
"139","X22404"
"140","X22486"
"141","X22687"
"142","X23207"
"143","X23715"
"144","X24549"
"145","X24642"
