"","V1"
"1",0.0938124199992617
"2",0.589580811312111
"3",0.780443151705548
"4",0.0864607178417516
"5",0.0513415551620308
"6",0.109965793427398
"7",0.696258329106361
"8",6.48831681233187e-07
"9",0.589580811312111
"10",0.0287969767238622
"11",0.0189310750929672
"12",0.867207775652105
"13",0.668930879611627
"14",0.0234310388998051
"15",0.0351500370857216
"16",0.985179110567889
"17",0.224006525982323
"18",0.00748516849801072
"19",0.287088207951685
"20",0.20987132187094
"21",0.00581829661752898
"22",0.780443151705548
"23",0.380896465446161
"24",0.615563482282295
"25",1.24109854923066e-06
"26",0.0287969767238622
"27",0.00581829661752898
"28",0.642022222684723
"29",0.723975273923011
"30",0.238789866360471
"31",0.00167676074077213
"32",0.0731153282175784
"33",0.696258329106361
"34",0.32261573863689
"35",0.696258329106361
"36",0.838059800952748
"37",0.0938124199992617
"38",0.955558077680757
"39",4.62500531750836e-07
"40",0.925995689195583
"41",0.0670847937661051
"42",0.148558241934993
"43",0.401635997474481
"44",0.32261573863689
"45",0.0351500370857216
"46",2.27590189724872e-06
"47",3.32734195504199e-09
"48",0.780443151705548
"49",0.0022476760554441
"50",0.589580811312111
"51",0.00144279203651944
"52",0.0864607178417516
"53",0.589580811312111
"54",0.000769976874474311
"55",0.00259280127238887
"56",0.031842056933516
"57",0.0938124199992617
"58",0.0670847937661051
"59",0.27032576790602
"60",0.539149690110503
"61",0.000392436692203517
"62",0.955558077680757
"63",0.0107555297220726
"64",0.254227272328748
"65",0.254227272328748
"66",0.955558077680757
"67",0.341380579725783
"68",0.0135615370849147
"69",0.896533177533874
"70",0.723975273923011
"71",0.589580811312111
"72",0.0938124199992617
"73",0.615563482282295
"74",0.0513415551620308
"75",0.32261573863689
"76",0.0107555297220726
"77",0.0562163174213685
"78",0.0614582119373417
"79",0.467673626817205
"80",0.171256260747419
"81",0.490915915589926
"82",0.539149690110503
"83",0.0670847937661051
"84",0.514748002342915
"85",0.159611595380778
"86",0.564102006388863
"87",0.955558077680757
"88",0.401635997474481
"89",0.467673626817205
"90",0.490915915589926
"91",3.22752169639073e-07
"92",0.955558077680757
"93",0.109965793427398
"94",0.0795675234056463
"95",0.109965793427398
"96",0.668930879611627
"97",0.0670847937661051
"98",0.0287969767238622
"99",0.696258329106361
"100",0.159611595380778
"101",0.0938124199992617
"102",0.0513415551620308
"103",0.159611595380778
"104",0.27032576790602
"105",0.514748002342915
"106",0.13808298420782
"107",0.360808603321762
"108",0.128169518223677
"109",6.32194971457978e-08
"110",0.780443151705548
