"","V1"
"1",0.0297163739385403
"2",0.329941947305312
"3",0.597321011193921
"4",0.265962733295201
"5",0.695270238009564
"6",0.0166714469227349
"7",0.365286887075878
"8",0.00120759917291293
"9",0.986421030063126
"10",1.7241681039763e-08
"11",0.484353042421437
"12",0.573821801409655
"13",0.0753588351135528
"14",0.144123514901983
"15",9.40397582184548e-05
"16",0.905162030898154
"17",0.00562267915913574
"18",6.07996120875854e-08
"19",0.8782480254203
"20",0.164344171848779
"21",0.00708052590557358
"22",0.0813789322982844
"23",0.506008229009706
"24",0.383790099266846
"25",1.02796717272861e-05
"26",0.210871581359752
"27",0.00306316431317947
"28",1.7241681039763e-08
"29",0.25136487256948
"30",6.35219827780743e-09
"31",0.72063474087203
"32",0.905162030898154
"33",0.0945518361453358
"34",0.0325576550584191
"35",0.851470716527013
"36",0.959278829121796
"37",4.60988103589454e-07
"38",0.25136487256948
"39",0.00885620307792773
"40",0.00443395055239238
"41",0.824858637385501
"42",6.35219827780743e-09
"43",0.365286887075878
"44",0.00392691354857331
"45",0.0945518361453358
"46",0.959278829121796
"47",0.18656772591524
"48",0.000582758837118125
"49",0.198455405818967
"50",0.851470716527013
"51",0.573821801409655
"52",0.746302420546443
"53",0.000677255046155685
"54",0.402839938991128
"55",0.695270238009564
"56",0.313106914035242
"57",0.798441484522712
"58",0.00182152461715267
"59",0.087772028750975
"60",0.746302420546443
"61",0.528148189054289
"62",0.44255238259773
"63",0.506008229009706
"64",0.798441484522712
"65",0.144123514901983
"66",0.125817330659911
"67",0.237320126786429
"68",0.00237139177158831
"69",0.72063474087203
"70",0.0593927970871977
"71",0.851470716527013
"72",0.645547628299466
"73",0.313106914035242
"74",0.986421030063126
"75",0.109328212699258
"76",0.44255238259773
"77",0.281117849689411
"78",0.00499752212088394
"79",0.0150620294657334
"80",0.210871581359752
"81",0.101732783953483
"82",0.17520059958581
"83",0.17520059958581
"84",0.00347145095002865
"85",0.695270238009564
"86",4.03727573399504e-06
"87",0.00885620307792773
"88",0.383790099266846
"89",0.101732783953483
"90",0.00708052590557358
"91",0.0150620294657334
"92",3.63908364766619e-05
"93",0.00159159046626329
"94",0.0184250293345651
"95",9.07456896829633e-10
"96",0.00269773958793825
"97",9.07456896829633e-10
"98",0.72063474087203
"99",0.0503525626580498
"100",0.00392691354857331
"101",0.087772028750975
"102",0.986421030063126
"103",0.44255238259773
"104",0.0150620294657334
"105",1.7241681039763e-08
"106",0.0110045918544046
"107",0.365286887075878
"108",0.573821801409655
