"","Comp 1","Comp 2"
"X95",-0.016193312637171,-0.000558602125869306
"X105",0.00544529814009002,-0.0159663371617179
"X106",0.00620400688751166,-0.0138787438627686
"X140",-0.0226979815896707,0.0380163753075747
"X174",-0.0101608764289835,0.0159649952594253
"X176",0.0320543532740693,0.00996004141822896
"X196",-0.00209606068871371,0.01149955528378
"X199",-0.03782541229756,-0.0229882776835796
"X212",0.00230720690895383,-0.0161208298673457
"X241",0.00570700929689934,0.0267700176752207
"X264",0.0171602600655644,0.0269719497366057
"X265",0.008928477385548,-0.0124424144809769
"X267",-0.0145075188828069,0.00358879208773542
"X279",-0.00722579982961221,-0.00140339541782763
"X285",0.00721164013201654,-0.00313647327034022
"X286",0.00397628562562601,0.00462127309934707
"X289",0.0091932074889721,0.0624751632499329
"X324",-0.0269497464200834,-0.0330836317631298
"X329",0.0068045732680471,0.0158866321515505
"X330",-0.00851400855797126,-0.0201885866577004
"X344",0.00828856967918161,0.0234991896523409
"X365",-0.00589745847294547,0.0240389698805696
"X417",-0.00108238626319048,0.0148699642015392
"X436",-0.0144659935352778,0.022397983559687
"X448",-0.0125483557245489,-0.0591140062316813
"X463",-0.0271852121254889,-0.0236129658674049
"X465",-0.036196422124102,0.0169280338281607
"X471",-0.00369399469999943,-0.000329537010579963
"X477",-0.00422380673987589,0.0130442807058051
"X484",-0.00948061031737564,0.0225194467782082
"X493",0.0167521906703905,-0.000381638697253123
"X513",-0.0145266548216308,0.0146324380348127
"X515",0.00145736791913676,-0.00511872014499579
"X517",0.0194691137875754,-0.0185005779407592
"X520",-0.00343729962374247,0.00236916739425047
"X528",-0.00599861422762305,0.0360967428337178
"X533",-0.0185816670432454,-0.000345019094454392
"X535",0.00139801781968118,-0.00331141456599412
"X536",-0.0418631886594103,-0.0114986842975813
"X545",0.00114740523133111,-0.0026787127348656
"X580",0.0334985021447927,0.00873890053282444
"X589",0.00323142241671634,0.0138339045659475
"X591",0.00666486580618802,-0.00204851627841209
"X596",0.00442130384283868,0.0124709256197544
"X625",-0.0366769770946852,-0.0127359972684191
"X644",0.0265859210829548,-0.00595719822090844
"X646",0.0550264018436245,0.0302130763329041
"X654",0.0075938162610972,-0.0118348148935513
"X663",-0.0296841784328263,0.0137446103590027
"X669",-0.00430407178479748,0.0109520135004181
"X674",-0.0214252947346536,-0.0163319067374862
"X725",0.00787564008273627,0.00221724647850128
"X788",0.000396912128309015,-0.00209386629693353
"X792",-0.0326800978422776,-0.019907776679037
"X796",-0.0223711872130673,0.00151074666107736
"X813",-0.0156823093538209,0.00427117549254459
"X814",0.00618347869172622,0.107400019438415
"X817",0.0111813817781362,0.00361320476067569
"X820",-0.0232725093291371,0.0165274074404657
"X829",0.00802703089291122,-0.00911277470594619
"X831",0.0248286471386574,0.0124787865528641
"X862",0.0013730406880866,2.22022573227572e-05
"X867",-0.014305207151055,0.00658384771970155
"X868",-0.00194436610040378,-0.0159085105350208
"X869",-0.00335515057806337,-0.0100516786186856
"X884",-0.0084210563657611,0.0146777484564419
"X886",0.0106779419830091,-0.000939212482999444
"X898",-0.0277350866378705,-0.012384951915907
"X899",0.00191374930038889,0.0151607400520673
"X919",0.00605682648241817,-0.0237006622578796
"X950",0.00937387385217201,-0.0275504510369104
"X951",0.00820217961803549,-0.00499450613552513
"X954",-0.00580898348832534,0.00208231542685594
"X990",-0.0232340290447925,-0.000273113863245934
"X995",0.0208134008632966,-0.00985228528318368
"X997",-0.017163634431682,-0.0555096935393993
"X1015",-0.0166711204062653,0.0216415731219618
"X1016",0.00464834476387771,-0.00737944936921307
"X1029",-0.00525603883177019,0.0209399245813323
"X1045",-0.00775585869358853,-0.0186661053586809
"X1050",-0.00643528934034169,0.00298790205169369
"X1051",0.000337405676739553,0.0120212793874531
"X1055",0.0302499297333462,-0.0136132454413897
"X1070",0.0049804894352551,0.00475224048654356
"X1072",5.26799816806284e-05,0.00135477323213767
"X1090",-0.0129808284972739,-0.00137030211996357
"X1103",-0.000285806967245059,-0.000597133579150852
"X1114",0.0137881962880273,-0.0290986807586129
"X1116",-0.0195695804170653,0.0394222368875649
"X1128",0.00719502254328159,-0.0203161428663641
"X1130",0.0337506295958831,0.0210776132486121
"X1134",-0.00386134330568719,0.0120092107272043
"X1154",-0.0152055434118936,0.00592206442045849
"X1159",-0.00936359052083735,-0.0107085395635091
"X1167",0.000625377190223467,0.032246232044427
"X1186",-0.000107506393825914,-0.000361521249484077
"X1188",0.00197089242606917,0.0182196023924978
"X1212",0.00520571832346329,0.0275158662953612
"X1213",0.00368355570679189,0.00348065888755957
"X1221",-0.024801168159114,0.007740005013229
"X1222",-0.0183221426631831,-0.0105328294565284
"X1226",-0.00648180007765063,-0.00817992189408528
"X1228",-0.00505883565595096,0.0260380303358093
"X1237",-0.0195568781696774,0.0110967338891474
"X1256",0.00745723905310996,0.00852786939978934
"X1264",-0.0310330770148878,-0.0076401158496145
"X1268",-0.00141493188033875,-0.0074951896214764
"X1269",-0.00111851945276109,-0.017813084606365
"X1271",-0.0268032151459959,-0.0384080125661007
"X1284",0.00312143239988232,0.0137230663696941
"X1285",0.000631795891797531,0.00594928008935318
"X1292",0.00039787640681895,-0.00820124912642868
"X1298",-0.000196716903390705,0.016316971726326
"X1303",-0.00289978594495273,0.00315860409947429
"X1320",0.000667919918548568,-0.00338732001702152
"X1325",-0.0285814461464695,0.00815275218541026
"X1329",-0.0037973335969528,0.012095532849014
"X1332",-0.00669976459256404,-0.00162031029475981
"X1336",0.00216399143255489,0.0351876646435011
"X1348",-0.024629764036412,0.0114278970085083
"X1349",0.00190879703110018,0.0032040097910162
"X1350",-0.0674961581230756,-0.0292706729916728
"X1364",0.0243664107180339,-0.00118303304283368
"X1380",0.00612929678847983,0.00633482218743164
"X1386",-0.00131417612158037,0.0131383627168875
"X1389",-0.0252776830458637,0.0347970511690893
"X1410",-3.21105452668496e-05,-0.000550761788885128
"X1413",0.00993067056051563,0.00467782662064372
"X1415",-0.00536766020814866,-0.0055148279889228
"X1425",-0.0419358414356497,-0.0126214041466996
"X1444",-0.00155705134098188,0.00349959860295024
"X1445",0.00631842017411571,-0.00161383897137135
"X1453",0.00321326478130592,0.00679317301935305
"X1475",0.00980802720448519,-0.00936602137444977
"X1484",0.00435649642723591,0.00333446805542476
"X1506",0.0116673431230297,-0.00961421245580767
"X1510",0.0188932357773895,0.0417316649645061
"X1511",0.00727913222221104,0.0373486293909849
"X1513",-0.00355876202643163,-0.0178361316772165
"X1514",0.0167628282378153,0.00148869501776726
"X1534",0.0144221578793217,0.00161647423607612
"X1557",-0.00327353464111709,-0.00587033558655355
"X1595",-0.0162088683632601,0.0143481018460323
"X1601",0.00860582337882095,-0.0103142911764825
"X1607",-0.0165220661139519,0.0148594444501648
"X1618",0.0211757991866253,-0.0167101461984927
"X1649",-0.0296316838341196,0.00831552831341042
"X1658",-0.0361051451823166,0.0150781854445608
"X1694",0.0209970919874752,0.021953661022066
"X1696",0.0217752759242582,-0.00521656222838431
"X1739",0.012532264296093,-0.0227038398982889
"X1741",1.59549522400159e-05,0.012190728501569
"X1774",-0.0142452123641972,-0.000626070896827901
"X1775",0.00594525477427021,0.00293586799319268
"X1776",0.00326247944899602,-0.00409220363117319
"X1785",-0.0141522818393274,-0.012607688531309
"X1800",0.0197960840094742,-0.0195468609749978
"X1812",-0.00954925265529214,-0.00743338578932099
"X1813",0.00913208418369212,-0.0338594349331812
"X1832",-0.00286176071384176,0.0097154540697039
"X1836",-0.0165839831973346,0.0190176007381484
"X1837",0.00102809507177364,0.00752095982118899
"X1847",0.0206518564416797,-0.00347443468785158
"X1862",0.00608324325074202,0.00815825769195402
"X1868",-0.00219108907337986,0.0247494637061484
"X1870",-0.0331681924009472,-0.0350332770494094
"X1882",-0.013859898083409,0.00931128431295093
"X1892",-0.0012434788026278,0.000118918079762136
"X1893",0.00609719306023026,0.0162413278061865
"X1896",0.0373548904440016,0.0123843629013104
"X1898",0.00593870699432373,-0.00942772587578473
"X1911",-0.0248833805533867,0.00633112691921851
"X1921",0.00232000952865809,-0.0420786941069844
"X1928",0.0921995029823781,-0.250742671057642
"X1942",-0.0230649552379469,0.0133808956366855
"X1949",0.001102042383284,0.00632033643974895
"X1951",-0.0136992428063933,-0.0127522049385262
"X1952",-0.0149483435694044,0.0148826796171243
"X1955",-0.025604802452928,-0.0195364807457649
"X1957",-0.0105452881645034,-0.0131407508771741
"X1959",0.00789385490085101,0.00488325443008613
"X1960",-0.00637390711805809,0.0240358917375079
"X1964",0.0696985417340738,-0.18548043051327
"X1979",-0.02988452303274,0.0129734719449817
"X1991",0.0166093621450802,0.0020408381464565
"X2020",0.0167642592777182,-0.0235124507859205
"X2027",0.00513457214239584,0.0095999643941533
"X2028",0.0592593536805316,0.0286488089440832
"X2029",-0.0178166864846953,-0.0176579108838418
"X2035",0.0495849222305285,0.0269845593338651
"X2078",0.0188226014449263,-0.000433450626402809
"X2079",-0.0102947573308352,0.0191246857928487
"X2086",0.00344757017284504,0.000549297830739928
"X2094",-0.00308700388702898,0.0280332479524824
"X2095",-0.0237602025251322,0.0161389407944848
"X2104",0.00149119409832528,0.00900447686012665
"X2111",-0.0239865106365118,-0.022435403783244
"X2116",-0.00184206296491759,-0.014300625940499
"X2128",0.0314548510158517,-0.0121793579814774
"X2133",-0.000155313181261326,0.00226264231722711
"X2153",-0.00876995273164252,0.00451220712139743
"X2154",0.00897071091141205,0.00684623492593309
"X2164",0.00919211371636869,-0.00630056760692837
"X2183",0.0168609317300572,0.0220074284673082
"X2190",-0.0198717985800253,-0.00986786753188445
"X2194",0.000571062684330473,0.0167866495820175
"X2203",-0.0337509024257581,-0.0199406485188688
"X2205",-0.00246305660011705,0.00962460965762422
"X2216",-0.0228838634977567,0.0054911586677754
"X2222",0.0111310724245784,0.0140243698437594
"X2240",-0.0251264508526476,0.0228077840327348
"X2248",0.0115805989597593,0.00119686777358043
"X2249",0.0059820126759616,-0.00274518830757293
"X2257",-0.0163046012336965,0.00996724953096371
"X2272",0.0095993602375177,0.029716449695226
"X2273",-0.00235709660683583,0.0104463188536049
"X2288",-0.0149587641818583,0.0207564806790698
"X2291",-0.00619581980961952,-0.0171933047641352
"X2294",0.0178096071942655,-0.0481132409914392
"X2304",-0.0156409255636702,-0.0678420055988434
"X2306",-0.00645622719971701,-0.0157524042231646
"X2310",-0.0146507997952203,0.00888615453504869
