"name","QC01","QC10","QC02","QC03","QC04","QC05","QC06","QC07","QC08","QC09","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A13","A14","A15","A16","A17","A18","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B13","B14","B15","B16","B17","B18","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","C13","C14","C15","C16","C17","C18","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","D13","D14","D15","D16","D17","D18"
2404,177249.4339,186057.904,194062.0063,199584.6406,185251.3369,187321.4334,195182.088,185229.8827,188943.2233,187182.2389,132691.3657,182303.4465,381233.621,211667.9575,355883.129,193028.6298,235017.0626,135433.2757,125727.7118,248969.4225,203264.4712,111415.524,181213.195,198453.591,165187.9851,166453.9089,156102.2045,120686.327,153995.335,225939.6356,300159.9036,161390.507,122765.0634,75052.10286,112274.1493,169005.441,184367.1056,134388.359,75678.00485,173607.3981,123908.6316,133956.8807,115517.236,148739.067,105603.954,117984.1696,186423.642,109268.362,116976.2584,119063.1531,94679.96422,103436.491,99509.87674,95931.24567,199735.942,108149.9819,77097.383,110685.4593,98850.05118,138939.4281,179009.352,197085.9641,287881.739,350547.7355,329351.2862,206504.7008,179395.439,111489.2453,249986.4467,500210.4949,113085.4607,358933.1252,275534.8105,90606.822,133593.7532,238491.3011,175944.4885,112112.5192
2411,118747.3848,126296.9992,122380.9406,134919.0216,136055.5426,126178.3171,130414.073,133232.0424,129773.1809,127065.5463,89702.94667,135555.264,82989.92125,99182.04548,170571.9064,107205.2654,103068.5249,62706.61011,40634.51083,92121.77197,65637.19109,96862.99392,73277.65662,182597.7508,73090.13874,99439.92944,110663.7221,112455.9957,49037.38945,102565.4106,120818.4359,112842.825,60557.18335,72042.56775,54375.51538,45288.63605,74168.45054,70242.40607,39529.00158,213682.9375,92067.18867,517785.434,113675.0135,153426.2922,63227.94603,130205.9432,153080.5939,148293.9576,71520.14545,67160.48142,54966.75757,73211.77587,139922.087,56533.63623,124726.8777,85599.6711,54896.33579,87034.61461,94744.71885,121305.5072,134473.252,119593.9125,122583.5539,98573.61572,110528.2203,113129.6248,86474.4633,65664.2983,89993.6735,101417.2581,164805.1884,72333.9508,135498.987,218411.7655,109628.4493,185534.7742,122595.2783,93183.20456
2420,108761.85,160138.3017,163793.0888,117389.84,120793.4685,128125.86,109207.4964,108238.5747,88209.92935,196643.33,518376.786,35519.2715,46372.83146,46029.926,31021.32111,42647.7744,152579.4809,69532.21971,126326.7983,81365.1357,48374.43266,20654.77,70804.44528,24966.896,34998.189,366324.2433,608203.9398,78603.10518,36163.07017,43080.85536,29004.1057,87540.453,116911.788,107272.8442,277594.1988,15031.35856,33706.73913,23616.18014,101745.683,58997.8803,75208.25857,786425.8826,446844.6657,44193.51556,43992.58875,43282.232,35565.245,67510.8201,102302.3463,53449.1321,27847.0365,204712.0819,56663.92333,49052.1374,35544.5125,106870.6719,140203.405,21001.656,56405.78967,720195.1205,141672.4112,58751.66492,81093.23752,54365.16579,20749.458,49165.93253,155297.7545,86986.04126,340269.5721,31248.47984,31103.73,46183.47568,31168.90286,28380.89678,40197.45738,38526.70128,46505.49796,275372.2339
2427,228823.9436,186214.1359,176698.7865,243994.485,260036.0455,213142.2909,226517.6925,266096.1684,255112.335,158378.4495,352117.1331,133571.0453,114119.0564,154704,117603.9527,143409.8325,223245.666,179089.6673,64371.34293,175322.8587,106554.7764,92028.98707,199939.0092,124417.92,120317.52,588056.7068,215051.7467,74439.258,93779.27427,120035.4898,141157.6507,138805.3763,211226.3618,97617.9378,294291.2,197086.72,94052.68573,103918.4565,348525.1463,86451.001,108424.9127,552504.96,333142.7927,60592.136,83987.05556,61557.605,42739.85729,105071.1812,164034.8293,110263.647,71964.52264,243143.68,152205.165,60179.92571,41746.8,77960.2968,451798.512,78485.3023,94195.21571,742584.0015,208059.4787,117813.2143,130826.396,110218.9177,135496.9243,138452.6,279581.8035,163431.0912,216179.811,154032.4328,173221.9847,156822.0425,126688.14,88943.40857,133246.4084,116677.3212,102783.8517,426198.24
2458,16320.9825,12277.995,25611.46162,15540.87809,17849.19273,15311.448,15362.25206,18742.06,14169.94333,14353.91912,17582.64647,11902.10778,35694.06905,18899.517,30512.38659,23172.33908,29703.60425,16658.28718,29546.98422,42245.16455,14792.7553,38649.51311,15503.90994,19399.0559,26616.24733,13089.63,7379.009,23960.8152,26540.93101,18198.65111,18453.10985,8706.28,30209.42827,15827.1465,35391.69387,12782.73267,14528.633,28310.75504,46536.86871,13613.28182,13960.43805,49676.82251,74916.67667,49597.65375,7190.74,18548.42,17637.22,41327.90543,21114.24613,13216.93357,16459.688,11005.07892,38248.82755,9801.98,16591.29231,14247.90062,11004.42857,38642.35476,17100.7568,18108.15416,23811.23271,26569.81565,12251.2,16947.9975,28007.73036,19166.30141,21505.77947,18468.64705,26931.91953,33487.6836,28616.43891,28034.81234,28801.33246,11809.811,20905.52619,19175.50714,39915.60158,56013.68637
2470,39600.02458,43443.855,41831.25322,44046.22875,44765.38231,37550.77529,45322.44167,41833.33,44641.76325,41807.448,23529.66084,13515.27411,30718.60528,22003.57437,13289.74595,18658.5955,32967.6165,16280.85424,14184.99264,14275.76372,9316.164,4795.9,8568.029538,15018.02463,16530.13431,22680.37878,19358.21067,14331.96678,9899.640947,22545.77914,7204.3025,22195.4435,21140.86538,18590.80364,18359.20485,16422.94855,16435.86306,6750.332231,13514.30039,22043.39368,14195.93222,20962.2854,54163.90556,12328.35476,25688.9095,39800.84579,139427.8239,29148.84657,62422.05625,10794.50667,39066.699,39162.42653,38476.64145,28396.61536,57320.51684,11044.07979,5863.092474,15276.69256,19068.1775,81680.72733,29947.37271,17341.82679,30711.21778,58946.54936,15127.99944,27339.54333,46353.95767,17667.7542,58292.25171,43427.71975,29073.213,14632.83257,51367.56404,23234.38111,51898.16022,50896.86942,46428.6378,25283.919
2474,81279.29438,118383.4693,89610.49982,89393.96889,112663.9569,113987.5883,103649.4411,104742.9717,118700.6538,110513.5062,71045.63333,135475.0292,52983.84375,24003.4725,56132.88863,172265.3777,59286.44123,70334.20875,47503.15875,21817.78375,89471.25889,18469.86488,91272.84488,57858.75333,107457.8511,15703.71575,222536.22,274536.71,60299.115,40740.11211,83489.88667,215177.6713,181184.5093,136128.9919,165334.4962,21080.74667,186832.3763,35762.63538,172817.3014,119040.1251,221922.0986,29095.6125,198020.988,242396.8061,64126.90667,77495.06538,176063.3361,356284.7963,172513.3296,125425.56,255283.0685,89541.83333,131234.28,174905.9466,171637.5804,34010.06263,129302.8897,139912.0023,187506.1173,32275.45667,107719.1177,130602.8571,39644.2125,28183.57875,38762.98763,203520.275,83862.67533,55316.99425,88191.42931,13358.87871,88348.0008,79114.88,74026.82589,30278.5425,111851.0759,43357.25625,143501.0503,14049.044
2500,615658.2544,849528.7235,723083.154,795933.4011,781565.6142,757921.4066,855221.3461,763701.6539,751827.5413,761227.7333,529320.113,411158.9498,589334.5894,548862.8657,595515.7518,800428.4164,493822.7866,359242.2194,90144.824,245250.8945,322156.7067,371022.7182,564954.9828,466595.6633,383485.8154,917666.1842,648752.9412,307921.2675,638091.5031,431437.9039,486384.0615,850345.0624,1237232.467,459402.8296,448474.8485,329179.6547,360607.2279,358190.8939,354604.5543,371201.0464,342129.7647,1040504.176,610191.9626,464866.4866,376287.1875,508537.0267,635180.4857,962290.6302,596602.7705,430683.8513,389552.1474,422076.9187,770461.2408,540157.8808,576054.2865,560512.7424,515500.9984,729416.4302,501002.5137,642184.1782,971088.3073,396974.6685,442291.252,619028.256,426629.5607,833237.6589,705921.183,325370.3926,617045.7315,488015.123,1008489.774,359235.3274,361157.7906,487162.5734,743655.0786,790358.7281,437241.4983,793420.8009
2505,57252.97829,82281.53839,53063.71336,60774.89522,61266.10014,73801.728,49624.31,66175.784,57046.28741,55697.15003,63666.61118,43812.48773,43790.72038,54463.0864,47158.22563,33586.45062,55733.359,34620.89668,20670.62567,38776.6341,61341.07577,45152.88614,34946.84252,32072.48277,38723.28341,64562.46885,54070.60293,69673.81818,34863.96971,76314.83213,60283.15983,65966.31817,45306.09274,51449.97887,37521.98689,25798.90686,81897.69743,46625.51577,22469.92228,38652.56257,36561.361,121663.9008,92069.43773,64511.41917,70043.19935,87947.84897,83895.76319,58833.34652,44349.6373,23175.35792,30508.40371,37377.24547,68967.23723,43577.28239,69553.82234,56226.43878,38418.76368,48802.51575,60609.78848,67903.14885,57758.98543,40748.55414,59653.40014,50192.9105,47336.21138,57415.75,60638.42119,35737.24991,53816.68438,37764.1567,69345.19677,34741.30357,71046.19029,54568.25561,56432.67028,29380.42055,50102.194,48605.38825
2510,6227.25,7440.815707,5939.058182,7097.911579,5749.262296,4988.633333,5924.794583,7403.501085,6543.690125,6345.925636,6415.088545,6733.052002,6859.84828,7773.125416,6840.06475,6640.648582,7144.299039,5636.506922,4065.849182,5312.373116,5407.472712,3890.969971,2609.307556,3815.867317,5328.295041,4445.0305,8410.131818,8691.687256,7347.185847,6631.410178,6389.055298,5496.76014,6168.797008,6286.543008,4688.171114,4147.337219,5307.568537,3466.572818,3075.676667,4569.712214,6175.758168,4805.5062,8154.387429,5510.103,8237.075334,7704.903143,7727.943682,5810.570595,5601.772,6763.600259,4999.808,5249.63575,5161.2,4810.688324,5739.328436,4396.375555,3843.564531,5432.559529,6439.661222,6516.61825,10224.99438,6318.886808,7151.137615,7170.982178,5212.491625,6557.493896,7791.206644,5920.199326,6099.717,4892.627869,5432.01828,4089.130954,4507.737012,4199.81675,3999.552857,4471.307074,7978.647744,3830.322077
2519,170019.1366,152519.1102,185672.6113,175903.6722,171199.3789,177715.4611,168831.4771,162005.632,169297.336,146626.5434,148494.6292,167620.1261,210958.9195,155091.4701,172252.7216,172766.4548,172593.058,179244.3866,126652.8293,94366.05633,152840.4657,150451.5505,185101.6459,149658.8314,167107.4579,146066.9277,123463.9785,159493.4185,202584.213,170177.977,75605.32782,212159.7427,231311.0403,160807.4914,134446.32,181955.258,123889.646,170979.4434,161519.938,135075.1795,129314.0068,161890.986,137378.527,123076.9684,160372.8353,141572.305,122233.903,149892.3268,183204.4022,110326.8793,120885.7644,153448.9476,182648.9623,139479.376,122367.8359,118330.0006,115877.1674,73475.26473,113696.1174,121268.0159,177565.697,154953.0994,183164.9327,227371.4426,146966.2155,162486.3392,199553.0507,166907.7743,175216.8683,179930.6906,158288.9829,160090.3714,154366.8821,164595.2913,180826.6198,217345.0421,129129.5746,187787.037
2520,225078.9581,253601.5744,223734.5432,222111.466,241070.6578,227618.3375,240461.7864,223064.144,254373.5903,241520.0717,24352.9115,2597.903636,20338.52862,15967.828,18442.44783,15321.248,21593.8814,14129.13277,53956.80772,24676.95879,36977.22315,16387.48563,16816.25833,29183.32078,36567.384,9094.268571,129199.5949,92316.10447,90282.86624,103350.2533,82031.96814,55554.32332,92389.06875,133494.7232,173699.6295,79496.01183,81798.93071,127009.3049,19401.76824,80032.96538,103950,504139.966,723634.4655,907235.8389,260005.7017,1052792.558,381571.7621,559763.174,254679.8593,635731.5884,291070.1527,279412.8626,609233.2359,582859.4965,198215.8222,674628.9267,273968.6226,571874.8187,1284004.256,536043.005,62607.02721,46964.55433,27948.05,31231.62069,16074.752,17625.039,19893.34036,13894.4,75711.08084,12455.472,27298.88957,10341.4725,38013.12,24467.21261,5008.993333,78783.19179,69399.09375,48134.43548
2523,225726.08,231975.0368,232925.577,214964.0529,228045.5833,238123.808,243436.7236,232060.7005,233549.44,221277.6271,102361.29,173974.4,108481.28,218528.3902,205979.576,162019.55,123642.9658,133385.175,78253.44,123450.4067,102249.5166,178030.4258,162469.33,265032.32,217615.7891,126200.4333,174682.5911,165648.2004,146256.2265,161925.12,161705.355,122824.872,162194.6533,172169.6,153768.5767,79955.176,159816.3627,168034.11,84641.88598,249942.0274,184991.1,248271.66,127967.2184,231439.8783,128906.109,237845.7,208874.2497,142241.92,219658.44,196068.48,167865.8568,172911.144,203838.7851,261931.6867,208892.9667,153500.1417,186576.756,184843.6451,243321.852,126353.2824,164373.564,245204.2492,174536.96,320621.1037,241439.3892,194056.6833,237674.5733,245481.2047,305066.7266,255932.8,256972.3873,234060.8,419092.2666,157285.1917,305032.6586,432496.1847,311760,156922.24
2529,58180.39552,47832.336,56538.13121,55272.85667,54647.58786,55942.70516,51112.59146,50251.26115,49241.4383,47534.72054,40563.92175,38669.964,23033.56668,38401.44762,31769.89989,31479.92,37268.75215,32257.56385,23756.37296,41717.39303,28161.40184,40207.38207,24973.20138,47656.82143,45568.83478,24395.7116,57278.5055,58242.68655,22424.997,54989.72421,30917.25432,36970.55538,39225.41831,41683.87234,56611.55297,31991.94371,30176.12404,48068.748,23998.31759,32666.94281,55940.25393,33906.65465,123615.2614,60963.124,28889.93137,65103.77817,47629.42958,32620.00896,49082.382,37565.11752,62144.80364,48885.32623,68309.37709,43455.77935,36168.52938,64878.768,40973.26654,41250.56425,244205.3622,37358.68645,54138.67581,34832.0853,27823.02956,40520.23235,26259.48945,29321.63935,40562.89493,38666.1597,38355.36692,44879.36359,45019.33744,26964.05214,30267.2874,72087.73793,38857.38157,33490.42386,51306.91813,22544.5724
2532,36553772.27,39835059.68,58890067.1,57068998.54,39167220.61,66119328.43,59915763.49,61232105.28,60210867.63,61133755.74,12568577.92,7189804.01,3994547.06,11539196.94,12206478.83,1703942.907,1377810.259,10352428.69,1181298.553,6180708.881,1393762.869,4960372.586,677668.0244,5338809.939,9527627.603,8057961.678,55470174.01,32028849.67,60986649.85,54400885.11,85988472.13,88842893.83,45298485.37,53698128.98,52910159.48,54992502.14,43325611.4,41320358.47,40583420.51,48875434.14,45081427.39,44812248.12,107068780.5,81590179.28,70047819.51,66160973.8,102511262.7,72781009.25,55033425.97,75527166.56,78552911.62,55468016.56,97614860.59,100161347.4,53385956.13,61903615.08,53299497.27,62092244.66,45524205.6,46604576.5,6303727.129,916120.4286,7280471.637,635173.302,3611987.487,11640814,4093615.678,8313105.135,2767128.591,5013673.689,11200633.87,2691164.912,1130155.92,16563859.13,4828123.777,6572654.859,9220753.343,1242611.209
2546,350651.6657,338991.4418,341045.6212,348807.0746,321542.4333,310692.2325,367281.4566,303666.3959,299667.55,341790.7262,245758.8126,203634.8296,263715.1343,329736.3493,274722.0663,269695.884,286453.621,214257.8259,137457.1433,214777.8605,214494.5455,253835.0863,181944.0062,217564.2638,284127.1111,104081.3672,431841.8113,361944.4288,300234.2075,382797.1406,301023.8285,351302.1613,269052.2933,130986.3708,201841.25,248896.9904,246772.6985,309067.7271,224661.6686,290132.244,275783.972,216971.441,489239.058,385928.0582,373456.2585,461963.8106,396907.2788,369089.0449,374037.8282,235779.473,249802.6199,331772.1568,281029.1873,318916.7821,270701.2605,423882.676,261032.7195,332699.1656,367269.7713,422129.1978,391230.4092,260606.6032,295218.95,253970.1474,250341.8106,288145.4298,254355.5122,216523.7122,270555.2368,270422.3025,217245.56,237774.1314,225916.7682,231390.8132,167043.2086,233167.4277,287513.1393,256578.9307
2547,148554.1564,147719.9488,121648.3088,135624.9916,135874.6533,164462.5289,139035.4573,142347.1564,141225.727,154307.6079,275302.3774,165802.1365,280637.1441,895966.2937,227794.7809,257365.2092,171304.1207,830964.8274,134810.3873,149016.0363,350762.9047,344002.0128,91567.97984,108981.8832,235008.2,149234.4769,146158.1256,98514.84083,75023.48262,430969.8667,71378.54346,118869.3337,54144.3989,569132.1394,90397.32571,43273.02818,107926.6066,164004.44,19901.21625,59165.77333,89915.95144,115801.975,6643.692261,9443.134146,2675.74209,45606.4875,8415.510387,5240.194147,4426.663456,109214.7294,27362.484,9519.024939,1807214.279,136115.2605,7509.67216,37235.9,34106.862,8062.278199,4411.26645,11759.94497,460316.0013,135910.1462,237650.5791,985884.9842,192294.7108,288578.6061,146004.8026,179236.3152,242649.8692,146861.9769,3443661.653,420141.2562,387591.557,424568.7784,95157.25511,57080.30918,276061.8542,213397.0581
2554,1041842.36,917641.1652,1036594.144,965701.6256,1033772.963,1087201.229,1062486.251,961733.0917,968307.1979,1001937.759,936187.5798,516893.0629,1007426.628,890545.5814,1250560.56,621967.0661,2528616.094,1095469.396,670678.6605,796563.4902,1139960.264,687559.4676,515431.0596,1529656.62,613593.9331,1185046.328,687739.7076,1006006.507,413298.1642,842031.5716,482006.9289,526970.5764,463315.8301,519331.4997,510754.0391,320204.9795,488784.4633,1032363.325,227201.205,1370416.722,648348.9899,946301.0522,217445.9902,217823.2022,221314.8071,297786.868,264067.2177,263574.29,143126.1483,221569.203,152794.7065,198995.9953,301469.4003,232326.9401,298302.3158,242338.3752,148592.4177,268256.8411,165775.4195,368118.3384,969868.6247,727290.754,761964.9793,1543854.183,891139.788,856221.876,1370038.192,847944.5876,1447791.605,995634.446,837429.0316,522564.0919,1451589.728,587405.275,890218.7363,1507280.348,1425608.881,968585.3671
2578,2694243.691,4358440.129,3356916.92,3369544.955,3510109.073,3370908.259,3999436.751,3151797.187,3370891.97,3861433.524,3998837.324,3706863.56,4085078.232,4000632.506,3525171.046,2858565.017,4014022.901,3043880.699,2205447.327,3375284.009,3917264.416,4558415.893,3137102.862,3613500.822,3587315.551,4140425.215,3280084.395,4147693.517,3318226.969,4008773.169,3951689.198,2832304.498,2617120.515,3446782.713,3909390.392,2496683.604,4112743.899,3095159.747,3004329.222,3608680.181,2810174.556,3665265.888,3497946.781,3544160.906,3052277.094,3450727.03,4470485.218,3538412.457,3298411.044,2426716.163,3213828.574,2625674.492,2840262.272,2844256.087,3778048.853,3587616.197,2932183.552,4344982.712,3986513.865,4374200.286,3344794.562,3288178.472,3522023.366,3360449.313,3141968.115,4150454.431,2870344.063,3057441.838,2976004.32,2982177.32,3052258.958,2826789.325,3220412.245,4167768.102,3274886.328,2586432.056,3599545.982,2988972.372
